Supplier ID,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group,
208797,Alcester Academy (ACAD) School,51553831,R4030,Materials,"2,649.60",03/09/2019,Other Services,
208797,Alcester Academy (ACAD) School,51559661,R6107,SEN Statements Funding,"4,154.00",20/09/2019,Communities,
207814,Alcester Grammar School (Academy),51559641,R6107,SEN Statements Funding,"2,075.00",20/09/2019,Communities,
200237,Alcester Nursery Studio Ltd,51557277,R6106,Early Years Funding (PVIs and LA),"29,377.66",12/09/2019,Communities,
220516,Alere Ltd (****7108) t/a Abbott,51550516,R5702,Payments to External Contractors,"30,000.00",11/09/2019,Communities,
235897,All Saints Leek Wootton - Coventry Diocese MAT,51559697,R6107,SEN Statements Funding,692.00,20/09/2019,Communities,
238066,Allied Publicity Services (Manchester) Ltd t/a APS Group,51554377,R3001,Vehicle Operating Costs,"1,908.86",27/09/2019,Resources,
,Allpay *platform Housi,31244,,,680.00,17/09/2019,People Group,
207773,Allstar Business Solutions Ltd,51554274,R3004,Repair & Maintenance Of Vehicles,"24,193.76",13/09/2019,Communities,
200287,Alsters Kelley Solicitors Ltd,51559297,R4441,Professional Fees,"1,052.00",17/09/2019,People Group,
200291,Alveston Cygnets,51557297,R6106,Early Years Funding (PVIs and LA),"23,903.40",12/09/2019,Communities,
200291,Alveston Cygnets,51558079,R6106,Early Years Funding (PVIs and LA),"2,695.78",16/09/2019,Communities,
212438,AMAT (Arden Multi Academy Trust) t/a Henley in Arden School,51559635,R6107,SEN Statements Funding,"2,771.00",20/09/2019,Communities,
212438,AMAT (Arden Multi Academy Trust) t/a Henley in Arden School,51559773,R5501,Grants / Donations to External Organisations,"3,000.00",20/09/2019,Communities,
228595,Amelio Utilities (Gloucester) Ltd,51556050,R5702,Payments to External Contractors,500.00,10/09/2019,Communities,
235474,Ameo Professional Services Ltd,51560992,R4441,Professional Fees,630.00,24/09/2019,Resources,
230657,Anderson Tree Specialists Ltd,51552088,R2751,Grounds Maintenance,"2,400.00",20/09/2019,People Group,
236798,Anker Bridge Nursery,51557197,R6106,Early Years Funding (PVIs and LA),"1,164.24",12/09/2019,Communities,
236798,Anker Bridge Nursery,51558030,R6106,Early Years Funding (PVIs and LA),"4,665.78",16/09/2019,Communities,
210713,Apple Grove Day Nursery Ltd,51557350,R6106,Early Years Funding (PVIs and LA),"4,656.96",12/09/2019,Communities,
210713,Apple Grove Day Nursery Ltd,51558026,R6106,Early Years Funding (PVIs and LA),"5,443.41",16/09/2019,Communities,
234649,Appoint Us Services (Midlands) CIC,51556407,R4441,Professional Fees,993.75,10/09/2019,People Group,
236956,APT Security Systems Ltd,51551274,R5702,Payments to External Contractors,"2,179.50",18/09/2019,Communities,
200419,Arden Construction Ltd,51554124,R2022,Property Services Building (LB),836.11,02/09/2019,Resources,
200419,Arden Construction Ltd,51554126,C1030,"New Construction, Conversion & Renovation","6,249.88",02/09/2019,Capital,
200419,Arden Construction Ltd,51551868,C1030,"New Construction, Conversion & Renovation","47,969.14",02/09/2019,Capital,
200419,Arden Construction Ltd,51552636,C1030,"New Construction, Conversion & Renovation","19,765.68",04/09/2019,Capital,
200419,Arden Construction Ltd,51556435,R2022,Property Services Building (LB),"55,965.00",18/09/2019,Resources,
200419,Arden Construction Ltd,51556436,R2022,Property Services Building (LB),"10,250.00",18/09/2019,Resources,
200419,Arden Construction Ltd,51556437,R2022,Property Services Building (LB),"2,765.00",18/09/2019,Resources,
200419,Arden Construction Ltd,51559921,C1030,"New Construction, Conversion & Renovation","3,829.64",19/09/2019,Capital,
200419,Arden Construction Ltd,51558619,C1030,"New Construction, Conversion & Renovation","17,956.00",19/09/2019,Capital,
200419,Arden Construction Ltd,51559548,R2022,Property Services Building (LB),641.30,19/09/2019,Resources,
200419,Arden Construction Ltd,51558617,C1030,"New Construction, Conversion & Renovation","11,328.00",19/09/2019,Capital,
200419,Arden Construction Ltd,51559217,C1030,"New Construction, Conversion & Renovation","1,800.00",19/09/2019,Capital,
200419,Arden Construction Ltd,51559935,R2022,Property Services Building (LB),781.74,19/09/2019,Resources,
200419,Arden Construction Ltd,51559932,R2022,Property Services Building (LB),"1,166.77",19/09/2019,Resources,
200419,Arden Construction Ltd,51559568,R2022,Property Services Building (LB),"1,950.60",19/09/2019,Resources,
200419,Arden Construction Ltd,51559565,R2022,Property Services Building (LB),"1,419.00",19/09/2019,Resources,
200419,Arden Construction Ltd,51558606,R2022,Property Services Building (LB),"1,600.60",19/09/2019,Resources,
200419,Arden Construction Ltd,51560574,R2022,Property Services Building (LB),"32,484.00",23/09/2019,Resources,
200419,Arden Construction Ltd,51561363,R2022,Property Services Building (LB),"1,031.52",26/09/2019,Resources,
200419,Arden Construction Ltd,51560616,C1030,"New Construction, Conversion & Renovation","11,575.18",30/09/2019,Capital,
200419,Arden Construction Ltd,51559922,C1030,"New Construction, Conversion & Renovation","28,042.58",30/09/2019,Capital,
200419,Arden Construction Ltd,51559920,R2022,Property Services Building (LB),-781.74,30/09/2019,Resources,
236288,Arden Fields School (Academy),51560647,R6107,SEN Statements Funding,"39,772.00",23/09/2019,Communities,
200429,Argos Business Solutions Ltd (****9518),51548786,R4008,Equipment - Access To Work,"2,823.76",02/09/2019,Resources,
200429,Argos Business Solutions Ltd (****9518),51551190,R4008,Equipment - Access To Work,"3,045.09",13/09/2019,Resources,
200429,Argos Business Solutions Ltd (****9518),51553062,R4008,Equipment - Access To Work,"2,433.11",20/09/2019,Resources,
200429,Argos Business Solutions Ltd (****9518),51554289,R4008,Equipment - Access To Work,"1,379.53",27/09/2019,Resources,
213431,Ash Green School & Arts College (Academy),51559701,R6107,SEN Statements Funding,"4,243.00",20/09/2019,Communities,
236184,Ashby and Croft Manufacturing Ltd,51549992,C1030,"New Construction, Conversion & Renovation","9,373.50",06/09/2019,Capital,
236184,Ashby and Croft Manufacturing Ltd,51554358,C1030,"New Construction, Conversion & Renovation","68,025.25",19/09/2019,Capital,
236184,Ashby and Croft Manufacturing Ltd,51554356,C1030,"New Construction, Conversion & Renovation","102,038.00",27/09/2019,Capital,
208346,Ashe Construction Ltd,51557921,C1030,"New Construction, Conversion & Renovation","299,230.26",19/09/2019,Capital,
208346,Ashe Construction Ltd,51557919,C1030,"New Construction, Conversion & Renovation","89,933.80",20/09/2019,Capital,
208346,Ashe Construction Ltd,51559940,C1030,"New Construction, Conversion & Renovation","12,247.00",23/09/2019,Capital,
200465,Ashleigh Nursery School,51557147,R6106,Early Years Funding (PVIs and LA),"38,295.35",12/09/2019,Communities,
200465,Ashleigh Nursery School,51558116,R6106,Early Years Funding (PVIs and LA),"9,331.56",16/09/2019,Communities,
200468,Askews And Holts Library Services Ltd.,51556133,R4058,"Books, Newspapers & Publications",549.77,10/09/2019,Resources,
200468,Askews And Holts Library Services Ltd.,51556153,R4058,"Books, Newspapers & Publications","1,028.49",10/09/2019,Resources,
236105,Aspire Children Services,51559538,R5805,Homecare - External Domiciliary,"5,663.30",18/09/2019,People Group,
200472,Aspire People Ltd,51557089,R1101,Agency Staff Pay,565.00,11/09/2019,Schools,
210825,ATG Access Ltd,51554290,R5702,Payments to External Contractors,"1,560.00",27/09/2019,Communities,
236005,Athag Ltd,51553555,C1060,Grants & Contributions To Outside Organisations,"21,000.00",02/09/2019,Capital,
228514,Atherstone Civic Society,51544461,R5501,Grants / Donations to External Organisations,"10,000.00",12/09/2019,Communities,
208492,Atkins Ltd,51550153,C1050,External Fees,"2,930.47",03/09/2019,Capital,
208492,Atkins Ltd,51552087,C1050,External Fees,"4,690.00",05/09/2019,Capital,
208492,Atkins Ltd,51556442,C1050,External Fees,"2,143.15",20/09/2019,Capital,
208492,Atkins Ltd,51559039,C1050,External Fees,"5,581.00",27/09/2019,Capital,
200502,Atkins Ltd  t/a Faithful Gould,51554329,R1101,Agency Staff Pay,"3,073.10",18/09/2019,Communities,
200502,Atkins Ltd  t/a Faithful Gould,51551904,C1050,External Fees,"6,551.00",19/09/2019,Capital,
200502,Atkins Ltd  t/a Faithful Gould,51552539,R4409,Consultancy,"2,670.66",20/09/2019,Communities,
200502,Atkins Ltd  t/a Faithful Gould,51553320,R1101,Agency Staff Pay,"2,929.48",20/09/2019,Communities,
200502,Atkins Ltd  t/a Faithful Gould,51560736,R1101,Agency Staff Pay,"59,314.82",23/09/2019,Communities,
200502,Atkins Ltd  t/a Faithful Gould,51560743,R1101,Agency Staff Pay,"3,352.31",23/09/2019,Communities,
200502,Atkins Ltd  t/a Faithful Gould,51560805,R1101,Agency Staff Pay,"4,442.48",24/09/2019,Communities,
200502,Atkins Ltd  t/a Faithful Gould,51560745,R1101,Agency Staff Pay,"18,294.45",24/09/2019,Communities,
200502,Atkins Ltd  t/a Faithful Gould,51560734,R1101,Agency Staff Pay,"19,086.65",24/09/2019,Communities,
200502,Atkins Ltd  t/a Faithful Gould,51554047,C1050,External Fees,737.50,25/09/2019,Capital,
200502,Atkins Ltd  t/a Faithful Gould,51554046,C1050,External Fees,"8,775.00",25/09/2019,Capital,
200502,Atkins Ltd  t/a Faithful Gould,51554042,C1050,External Fees,"1,120.00",25/09/2019,Capital,
200502,Atkins Ltd  t/a Faithful Gould,51554040,C1050,External Fees,"1,603.75",25/09/2019,Capital,
200502,Atkins Ltd  t/a Faithful Gould,51554038,C1050,External Fees,"7,402.00",25/09/2019,Capital,
