Supplier ID,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group
206000,Tamworth Borough Council,51496779,B6150,Payroll Third Party Payments - Academy Schools,£560.56,06/03/2019,Control Codes
218074,Tanworth-In-Arden Academy Trust,51494883,R6106,Early Years Funding (PVIs and LA),"£1,134.70",01/03/2019,Communities
218074,Tanworth-In-Arden Academy Trust,51503772,R6107,SEN Statements Funding,"£2,543.00",22/03/2019,Communities
205968,TC Cars Ltd,51487008,R3204,Home To School / College Transport,£750.00,05/03/2019,Communities
205968,TC Cars Ltd,51496033,R3204,Home To School / College Transport,£600.00,28/03/2019,Communities
206017,Teaching Personnel Ltd,51487698,R5702,Payments to External Contractors,£931.60,08/03/2019,Communities
206017,Teaching Personnel Ltd,51497668,R1101,Agency Staff Pay,£604.80,15/03/2019,Schools
237981,Technology Within Ltd,51486479,R4506,IT Support & Maintenance,£636.27,06/03/2019,Communities
237981,Technology Within Ltd,51486801,R4506,IT Support & Maintenance,"£1,557.93",07/03/2019,Communities
206022,Teddy Bear Corner Ltd (childcare ****9517),51494871,R6106,Early Years Funding (PVIs and LA),£942.68,01/03/2019,Communities
206025,Teddy Bears Preschool,51494862,R6106,Early Years Funding (PVIs and LA),£818.89,01/03/2019,Communities
206026,Teddy N Daisys Day Nursery  Ltd t/a Child 1st ( Coleshill),51494792,R6106,Early Years Funding (PVIs and LA),£960.13,01/03/2019,Communities
235761,Temple Consultancy Ltd,51498801,R5702,Payments to External Contractors,£990.00,15/03/2019,Communities
238177,Temple Herdewyke - Stowe Valley Trust M.A.T.,51503510,R1408,Other Staffing Costs,"£1,309.60",20/03/2019,Schools
237830,Tenbury High Ormiston Academy,51503329,R6109,Funding payment to Academies and Non WCC Schools,£600.00,20/03/2019,Communities
100000,The Abbeyfield Society,51502757,R5805,Homecare - External Domiciliary,"£2,940.00",18/03/2019,People Group
206089,The Arthur Terry Learning Partnership,51503813,R6107,SEN Statements Funding,"£2,340.00",22/03/2019,Communities
206089,The Arthur Terry Learning Partnership,51505887,R4441,Professional Fees,"£1,100.00",26/03/2019,Schools
235429,The Bewdley School,51503283,R6109,Funding payment to Academies and Non WCC Schools,£600.00,20/03/2019,Communities
211538,The Blue Coat Church of England Academy,51503300,R6109,Funding payment to Academies and Non WCC Schools,£600.00,20/03/2019,Communities
206066,The Blue Strawberry - Cawston Grange,51494843,R6106,Early Years Funding (PVIs and LA),"£5,760.81",01/03/2019,Communities
206067,The Blue Strawberry Kids Daycare Ltd,51496071,R6106,Early Years Funding (PVIs and LA),"£13,573.18",01/03/2019,Communities
206067,The Blue Strawberry Kids Daycare Ltd,51494859,R6106,Early Years Funding (PVIs and LA),"£2,985.15",01/03/2019,Communities
206067,The Blue Strawberry Kids Daycare Ltd,51501961,R6106,Early Years Funding (PVIs and LA),"-£13,988.98",14/03/2019,Communities
206067,The Blue Strawberry Kids Daycare Ltd,51501995,R5702,Payments to External Contractors,"£1,855.00",15/03/2019,Communities
228974,The Brandon Trust,51496662,R5807,Social Care Block Contracts,"£21,199.51",22/03/2019,People Group
228974,The Brandon Trust,51496663,R5807,Social Care Block Contracts,"£25,088.58",22/03/2019,People Group
228974,The Brandon Trust,51506465,R2022,Property Services Building (LB),"£2,087.71",28/03/2019,Communities
238059,The Brier School,51503309,R6109,Funding payment to Academies and Non WCC Schools,£600.00,20/03/2019,Communities
233727,The Brookfield School,51506635,R6109,Funding payment to Academies and Non WCC Schools,£600.00,27/03/2019,Communities
213102,The Castle Medical Centre,51505744,R5702,Payments to External Contractors,£524.58,29/03/2019,Communities
206084,The Chefs Kitchen UK Ltd,51495663,R4102,Catering Services & Supplies,"£1,050.00",01/03/2019,Communities
228623,The Children's Family Trust,51496591,R5822,Foster Care Payments - External Provision,£715.52,01/03/2019,People Group
228623,The Children's Family Trust,51164147,R5822,Foster Care Payments - External Provision,-£715.52,01/03/2019,People Group
206090,The College Nursery,51494872,R6106,Early Years Funding (PVIs and LA),"£2,793.12",01/03/2019,Communities
201481,The Coventry And Solihull Waste Disposal Company Ltd,51487138,R5702,Payments to External Contractors,"£140,594.51",01/03/2019,Communities
201481,The Coventry And Solihull Waste Disposal Company Ltd,51487143,R5702,Payments to External Contractors,"£50,992.58",13/03/2019,Communities
201481,The Coventry And Solihull Waste Disposal Company Ltd,51487134,R5702,Payments to External Contractors,"£140,963.00",19/03/2019,Communities
201481,The Coventry And Solihull Waste Disposal Company Ltd,51501519,R5702,Payments to External Contractors,"£128,589.43",29/03/2019,Communities
201481,The Coventry And Solihull Waste Disposal Company Ltd,51501520,R5702,Payments to External Contractors,"£121,595.28",29/03/2019,Communities
201481,The Coventry And Solihull Waste Disposal Company Ltd,51501522,R5702,Payments to External Contractors,"£52,623.56",29/03/2019,Communities
226152,The Coventry Refugee and Migrant Centre (****5764),51487267,R5702,Payments to External Contractors,"£1,011.38",07/03/2019,Communities
226152,The Coventry Refugee and Migrant Centre (****5764),51487265,R5702,Payments to External Contractors,"£1,302.85",07/03/2019,Communities
226152,The Coventry Refugee and Migrant Centre (****5764),51506138,R5702,Payments to External Contractors,"£1,062.88",29/03/2019,Communities
225413,The Dare2Dream Foundation CIC,51491324,R6107,SEN Statements Funding,"£2,000.00",01/03/2019,Communities
225413,The Dare2Dream Foundation CIC,51499180,R6107,SEN Statements Funding,"£3,700.00",12/03/2019,Communities
225413,The Dare2Dream Foundation CIC,51491407,R4607,Client Expenses,£800.00,12/03/2019,Communities
225413,The Dare2Dream Foundation CIC,51499653,R5702,Payments to External Contractors,"£4,400.00",12/03/2019,Communities
225413,The Dare2Dream Foundation CIC,51499202,R5702,Payments to External Contractors,"£2,800.00",12/03/2019,Communities
225413,The Dare2Dream Foundation CIC,51499199,R5702,Payments to External Contractors,"£1,500.00",12/03/2019,Communities
225413,The Dare2Dream Foundation CIC,51499198,R5702,Payments to External Contractors,"£7,700.00",12/03/2019,Communities
225413,The Dare2Dream Foundation CIC,51499193,R5702,Payments to External Contractors,"£3,300.00",12/03/2019,Communities
225413,The Dare2Dream Foundation CIC,51486464,R5702,Payments to External Contractors,"-£1,350.00",12/03/2019,Communities
225413,The Dare2Dream Foundation CIC,51499204,R5702,Payments to External Contractors,"£2,100.00",13/03/2019,Communities
225413,The Dare2Dream Foundation CIC,51499191,R5702,Payments to External Contractors,"£5,500.00",15/03/2019,Communities
225413,The Dare2Dream Foundation CIC,51499187,R6107,SEN Statements Funding,"£1,500.00",18/03/2019,Communities
225413,The Dare2Dream Foundation CIC,51504626,R5702,Payments to External Contractors,"£4,500.00",22/03/2019,Communities
225413,The Dare2Dream Foundation CIC,51504260,R6107,SEN Statements Funding,"£8,250.00",22/03/2019,Communities
225413,The Dare2Dream Foundation CIC,51505892,R4607,Client Expenses,"£1,950.00",26/03/2019,Communities
