Supplier,Transno,Amount,Directorate,Pay Date
Amznmktplace,5646,22.49,Communities,04/07/2021
Amznmktplace,1617,33.74,People,04/07/2021
Amznmktplace,3956,9.95,Communities,04/07/2021
Amznmktplace,2937,35.99,Resources,05/07/2021
Amznmktplace,10281,22.66,Communities,05/07/2021
Amznmktplace,3782,70.43,Communities,05/07/2021
Amznmktplace,27078,16.23,Communities,06/07/2021
Amznmktplace,7512,10.90,Communities,06/07/2021
Amznmktplace,28487,7.38,Communities,06/07/2021
Amznmktplace,14371,28.99,People,07/07/2021
Amznmktplace,3051,8.99,People,07/07/2021
Amznmktplace,1364,4.99,Communities,08/07/2021
Amznmktplace,1126,27.48,People,08/07/2021
Amznmktplace,5102,174.15,Resources,08/07/2021
Amznmktplace,789,33.32,People,09/07/2021
Amznmktplace,1385,66.65,Communities,09/07/2021
Amznmktplace,5200,59.99,People,09/07/2021
Amznmktplace,435,4.99,Communities,10/07/2021
Amznmktplace,2527,11.32,Communities,10/07/2021
Amznmktplace,2944,51.38,Communities,11/07/2021
Amznmktplace,1088,30.87,Resources,11/07/2021
Amznmktplace,16190,28.27,Communities,12/07/2021
Amznmktplace,4251,30.40,Communities,12/07/2021
Amznmktplace,1022,16.66,Communities,12/07/2021
Amznmktplace,4312,4.83,Resources,13/07/2021
Amznmktplace,19686,24.56,People,13/07/2021
Amznmktplace,24968,14.99,People,14/07/2021
Amznmktplace,8141,93.31,People,14/07/2021
Amznmktplace,24636,20.82,People,14/07/2021
Amznmktplace,8980,14.98,People,14/07/2021
Amznmktplace,1258,5.56,People,14/07/2021
Amznmktplace,3513,20.69,People,14/07/2021
Amznmktplace,3012,116.21,Communities,15/07/2021
Amznmktplace,1525,41.66,People,15/07/2021
Amznmktplace,897,17.47,Communities,15/07/2021
Amznmktplace,25090,24.91,Fire and Rescue,15/07/2021
Amznmktplace,279,188.98,People,15/07/2021
Amznmktplace,3787,11.66,Communities,16/07/2021
Amznmktplace,1857,8.32,Fire and Rescue,16/07/2021
Amznmktplace,6073,12.07,People,16/07/2021
Amznmktplace,8982,8.68,People,16/07/2021
Amznmktplace,16845,9.37,Communities,16/07/2021
Amznmktplace,4358,18.21,Communities,16/07/2021
Amznmktplace,4606,15.99,Communities,16/07/2021
Amznmktplace,252,23.66,Fire and Rescue,18/07/2021
Amznmktplace,989,12.82,Fire and Rescue,18/07/2021
Amznmktplace,858,6.24,Communities,18/07/2021
Amznmktplace,2677,32.46,Communities,19/07/2021
Amznmktplace,68,28.33,Fire and Rescue,19/07/2021
Amznmktplace,7125,7.46,People,19/07/2021
Amznmktplace,2799,163.33,Resources,19/07/2021
Amznmktplace,12224,4.99,Resources,20/07/2021
Amznmktplace,12224,12.07,Resources,20/07/2021
Amznmktplace,1339,2.91,Resources,20/07/2021
Amznmktplace,14207,10.77,Communities,20/07/2021
Amznmktplace,1912,2.91,People,20/07/2021
Amznmktplace,4279,58.22,People,20/07/2021
Amznmktplace,5698,6.96,People,20/07/2021
Amznmktplace,6032,9.99,People,20/07/2021
Amznmktplace,6142,3.82,People,20/07/2021
Amznmktplace,7011,14.98,People,20/07/2021
Amznmktplace,7051,10.77,People,20/07/2021
Amznmktplace,7318,2.87,People,20/07/2021
Amznmktplace,4072,30.82,Communities,21/07/2021
Amznmktplace,4381,25.00,Communities,21/07/2021
Amznmktplace,5379,4.66,People,21/07/2021
Amznmktplace,5414,63.64,People,21/07/2021
Amznmktplace,6966,15.62,People,21/07/2021
Amznmktplace,2854,25.37,Resources,22/07/2021
Amznmktplace,7634,124.17,Communities,22/07/2021
Amznmktplace,8002,9.97,Communities,22/07/2021
Amznmktplace,1141,19.98,Communities,22/07/2021
Amznmktplace,1838,145.62,People,22/07/2021
Amznmktplace,1000,19.57,Communities,23/07/2021
Amznmktplace,4139,3.95,Communities,23/07/2021
Amznmktplace,22542,27.96,People,23/07/2021
Amznmktplace,301,29.83,People,23/07/2021
Amznmktplace,8239,374.17,Communities,23/07/2021
Amznmktplace,22471,62.48,Communities,23/07/2021
Amznmktplace,1289,208.83,Fire and Rescue,23/07/2021
Amznmktplace,4390,3.57,Resources,23/07/2021
Amznmktplace,6571,6.24,Communities,23/07/2021
Amznmktplace,6571,20.82,Communities,23/07/2021
Amznmktplace,6571,22.49,Communities,23/07/2021
Amznmktplace,3992,16.28,Communities,25/07/2021
Amznmktplace,7687,82.71,Communities,25/07/2021
Amznmktplace,10444,32.47,Communities,26/07/2021
Amznmktplace,4117,5.25,Resources,26/07/2021
Amznmktplace,4110,43.50,Resources,26/07/2021
Amznmktplace,9347,40.36,Fire and Rescue,27/07/2021
Amznmktplace,1895,124.99,Communities,27/07/2021
Amznmktplace,405,12.07,Fire and Rescue,27/07/2021
Amznmktplace,3988,19.43,Communities,27/07/2021
Amznmktplace,15531,28.30,Fire and Rescue,27/07/2021
Amznmktplace,10026,13.19,Communities,27/07/2021
