Supplier,Transno,Amount,Directorate,Pay Date
Homebase Ltd 494,13593,8.75,Communities,04/06/2021
Homebase.Co.Uk,31550,180.00,People,24/06/2021
Homebase.Co.Uk,7736,-180.00,People,28/06/2021
Huws Gray Colwyn Bay,31658,13.99,Communities,09/06/2021
Imo Car Wash Warwick (,5865,7.50,Communities,01/06/2021
Industrial Workwea,11543,44.19,Communities,22/06/2021
Infogram.Com,34686,164.10,Resources,18/06/2021
Inst Env Mgt & Assess,833,141.50,Communities,14/06/2021
Interior Goods Direct,21252,422.22,Communities,09/06/2021
Iz *chip Shed Warwick,3502,4.50,People,23/06/2021
J D Sports Fashion,23738,20.92,People,25/06/2021
J D Sports Fashion,29681,20.83,People,25/06/2021
Jd Sports Internet,17529,30.00,People,02/06/2021
Jpim Circulation,19364,87.36,Resources,18/06/2021
Justpark,13122,2.42,Communities,09/06/2021
Keri - Anns Nuneaton L,3850,5.82,People,12/06/2021
Keri - Anns Nuneaton L,3854,3.74,People,12/06/2021
Kingfisher Media Ltd,10735,185.00,Communities,30/06/2021
Kirwin Maclean Associa,4091,2354.17,Resources,09/06/2021
Kirwin Maclean Associa,4095,1256.25,Resources,09/06/2021
Knightshopi,6171,312.51,Communities,28/06/2021
Knowledge Exchange Gro,478,842.40,Resources,11/06/2021
Koller Engineering Ltd,12048,337.72,Communities,09/06/2021
Landmarkinf,9849,8.32,Communities,23/06/2021
Lbealing Internet,19227,567.00,People,28/06/2021
Lbs Horticulture Limit,26410,119.19,Communities,22/06/2021
Lego System A/S,40505,29.12,Communities,23/06/2021
Leic City Council,8161,63.00,People,01/06/2021
Lidl Gb Nuneaton,14629,5.32,Communities,02/06/2021
Lidl Gb Nuneaton,19192,20.22,People,24/06/2021
Mailchimp,37136,547.98,Resources,21/06/2021
Manchester Cc Inte,31631,11.00,Resources,10/06/2021
Map Uk,7410,164.50,Communities,24/06/2021
Marks&spencer Plc,17435,42.50,Communities,08/06/2021
Mary Ann Evans Hospice,14465,195.83,People,23/06/2021
McDonalds,9501,6.21,People,12/06/2021
McDonalds 1574,28343,9.17,People,07/06/2021
McDonalds 1620 / Warwi,35019,4.80,People,30/06/2021
McDonalds 521,28214,7.08,People,07/06/2021
McDonalds 521,36550,7.17,People,10/06/2021
McDonalds 521,36554,7.82,People,10/06/2021
McDonalds 521,34038,4.73,People,15/06/2021
McVeigh Parker (Worces,14749,415.00,Communities,25/06/2021
Mercure Darlington Kin,11993,45.24,People,02/06/2021
Metcalf Timber And Bui,9426,208.33,Communities,18/06/2021
Metcalf Timber And Bui,9430,207.67,Communities,18/06/2021
Middlemarch Farm,16096,16.97,People,13/06/2021
Miro.Com,36298,115.42,Communities,25/06/2021
Mla,22710,180.75,Fire and Rescue,07/06/2021
Montague Storage,8186,75.00,Resources,17/06/2021
Mortons Media Group Lt,15417,70.00,Communities,29/06/2021
Museums Asctn,27531,40.00,Communities,22/06/2021
My Car Keys,4728,450.00,Communities,09/06/2021
My Car Keys,4731,65.00,Communities,09/06/2021
My Car Keys,4734,165.00,Communities,09/06/2021
My Car Keys,4737,195.00,Communities,09/06/2021
My Tutorweb,6880,20.95,People,06/06/2021
Nas Scotland People,19218,14.54,People,15/06/2021
Ncs*citb Exam,14050,22.00,Communities,01/06/2021
New Look Internet,5743,118.25,Communities,03/06/2021
Newbury News Ltd,20445,65.00,Resources,18/06/2021
Newsquest Media,30020,139.00,Communities,11/06/2021
Newsquest Media,27319,65.00,Resources,18/06/2021
Next Directory,10338,49.99,Communities,08/06/2021
Next Directory,17678,-41.66,Communities,08/06/2021
Nike,3614,54.95,Resources,17/06/2021
Nominet Uk,1152,56.16,Resources,08/06/2021
North Warwickshire Bor,12465,751.78,People,24/06/2021
Nuneaton & Bedworth Bc,24336,152.26,People,07/06/2021
Nuneaton & Bedworth Bc,26587,301.06,People,14/06/2021
Nuneaton Signs Ltd,3033,205.50,Communities,29/06/2021
Nuneaton&bedworth Bc,11982,234.26,People,10/06/2021
O2 UK Mbb,16257,20.83,Communities,02/06/2021
Odeon Upt,5705,19.17,People,12/06/2021
One Education,4051,24.29,People,01/06/2021
Optimal Workshop,43805,142.35,Resources,17/06/2021
Orchard Corner,16345,1.29,People,17/06/2021
Original Factory S,26786,1.67,People,30/06/2021
Owens Radio & T V,4069,303.99,People,02/06/2021
P W Media & Publishing,12951,100.00,Communities,17/06/2021
P W Media & Publishing,12955,100.00,Communities,17/06/2021
P W Media & Publishing,12976,-100.00,Communities,17/06/2021
Paddle.Net* Ukeysoft,37796,56.67,Resources,10/06/2021
Padlet* Padlet Softwar,39478,111.21,People,29/06/2021
Parcel2go.Com Ltd,22374,5.43,Communities,10/06/2021
Patoss Ltd,3243,106.00,People,15/06/2021
Paypal *galleon Sup Ga,5384,286.20,Communities,16/06/2021
Paypal *grahamedwar,8588,27.58,Communities,25/06/2021
Paypal *infinitived Eb,5084,21.20,People,02/06/2021
Paypal *northwarwic,4886,170.00,Communities,17/06/2021
Perdix Wildlife,6375,79.95,Communities,21/06/2021
Pets At Home Ltd,3045,1.79,Resources,06/06/2021
Plantool Hire Centres,9806,107.40,Communities,11/06/2021
Post Office Counter,6010,4.85,People,14/06/2021
Post Office Counter,5030,8.95,Communities,21/06/2021
Post Office Counter,5855,9.34,Communities,28/06/2021
Post Office Counter,9160,4.85,Communities,30/06/2021
Post Office Counter,9163,3.23,Communities,30/06/2021
Poundland Ltd,24828,3.00,People,23/06/2021
Poundland Ltd 1473,8229,2.67,People,12/06/2021
Poundland Ltd 1473,8233,0.83,People,12/06/2021
Pp*gascoigne Clothing,829,87.59,Communities,04/06/2021
Pp*tillerman Beads,5028,45.00,Resources,12/06/2021
Prebena (UK) Ltd,10442,153.00,Fire and Rescue,07/06/2021
Premier Farnell,1947,59.60,Resources,08/06/2021
Premier Inn 44033690,14939,80.95,Fire and Rescue,24/06/2021
Premier Inn44014350,15686,430.40,Fire and Rescue,07/06/2021
Premier Inn44014350,16664,418.97,Fire and Rescue,08/06/2021
Premier Inn44014350,15596,41.90,Fire and Rescue,14/06/2021
Premier Inn44014350,15599,36.66,Fire and Rescue,14/06/2021
Premier Inn44014350,16284,30.01,Fire and Rescue,22/06/2021
Premier Inn44014350,16287,19.99,Fire and Rescue,22/06/2021
Premier Inn44014350,16290,19.99,Fire and Rescue,22/06/2021
Premier Inn44014350,17319,-23.99,Fire and Rescue,22/06/2021
Premier Inn44014350,14900,69.51,Fire and Rescue,24/06/2021
Premier Inn44014350,14903,209.49,Fire and Rescue,24/06/2021
Premier Inn44014350,15387,50.00,Fire and Rescue,28/06/2021
Premier Inn44016505,4081,75.23,People,04/06/2021
Premier Inn44017145,14927,55.50,People,24/06/2021
Premier Inn44024430,16554,83.33,People,21/06/2021
Premier Inn44521695,4069,39.51,People,18/06/2021
Premier Inn44521695,4072,39.51,People,18/06/2021
Premier Inn44523660,5170,54.29,People,11/06/2021
Presentermedia,35728,36.03,Resources,28/06/2021
Primark 476,143,20.83,People,25/06/2021
Puregym Limited,3589,159.90,People,08/06/2021
Puregym Limited,8796,189.90,People,25/06/2021
Robert Dyas Holdng Ltd,20745,16.66,Communities,07/06/2021
Robert Dyas Holdng Ltd,24369,54.12,People,23/06/2021
Round Tower Spares Nun,17974,12.99,Communities,16/06/2021
Royal Mail,7420,678.00,Communities,14/06/2021
Royal Mail,11953,257.00,Communities,25/06/2021
Rtpi,498,199.00,Communities,15/06/2021
Rugby Bc Internet,7488,26.50,People,14/06/2021
Rugby Bc Internet,12027,135.09,People,22/06/2021
Rugby Bc Telpay,9016,393.45,People,18/06/2021
Safetysuppl,1778,59.50,Communities,18/06/2021
Safetysuppl,7179,-68.85,Communities,25/06/2021
Sainsburys S/mkt,31901,30.21,People,10/06/2021
Sainsburys S/mkt,27584,2.85,People,29/06/2021
Sainsburys S/mkt,27560,4.35,People,29/06/2021
Sainsburys S/mkt,26634,20.00,People,30/06/2021
Sainsburys S/Mkts,24167,5.85,People,02/06/2021
Sainsburys S/mkts,32829,7.75,Communities,08/06/2021
Sainsburys S/mkts,31652,3.21,Resources,14/06/2021
Sainsburys S/Mkts,31908,7.00,People,14/06/2021
Sainsburys S/mkts,20134,11.58,Communities,18/06/2021
Sandwell M.B.C.,32595,368.59,People,23/06/2021
Savers Health & Beauty,12854,4.87,People,09/06/2021
Schoolhire* B594861,4462,150.75,People,23/06/2021
Screwfix Dir Ltd,19626,4.49,Communities,02/06/2021
Screwfix Direct,24824,49.99,Communities,09/06/2021
Screwfix Direct,20431,145.79,Communities,11/06/2021
Screwfix Direct,7373,58.91,Communities,13/06/2021
Screwfix Direct,22989,191.85,Communities,14/06/2021
Screwfix Direct,27054,22.49,Communities,17/06/2021
Screwfix Direct,27162,12.49,Communities,17/06/2021
Screwfix Direct,34957,6.87,Communities,24/06/2021
Screwfix Direct,29441,31.79,Communities,25/06/2021
Sealey,13869,23.21,Communities,21/06/2021
Serita Newsagents,19636,6.27,People,01/06/2021
Severn Trent Water,33146,129.45,Resources,10/06/2021
Shredpro Ltd,619,48.15,Communities,07/06/2021
Shropshire Council,18426,12.00,Resources,04/06/2021
Shutterstock Ireland L,39496,4729.00,Resources,16/06/2021
Signs Express Coventry,17852,36.86,Communities,14/06/2021
Signs Express Coventry,32413,110.59,Communities,15/06/2021
Simple Storage Solutio,8058,140.00,People,24/06/2021
Sitebox Limited,979,442.73,Communities,23/06/2021
Smbc Revenues - C,36451,-11.00,Resources,10/06/2021
Smbc Revenues - In,34125,11.00,Resources,09/06/2021
Snap Inc Snap Snap Ads,4913,6.65,Resources,01/06/2021
Snap Inc Snap Snap Ads,4148,6.50,Resources,02/06/2021
Snap Inc Snap Snap Ads,4841,6.32,Resources,03/06/2021
Snap Inc Snap Snap Ads,4700,6.31,Resources,04/06/2021
Snap Inc Snap Snap Ads,864,7.87,Resources,05/06/2021
Snap Inc Snap Snap Ads,1585,7.11,Resources,06/06/2021
Snap Inc Snap Snap Ads,5353,6.72,Resources,07/06/2021
Snap Inc Snap Snap Ads,7311,7.56,Resources,08/06/2021
Snap Inc Snap Snap Ads,8761,6.45,Resources,09/06/2021
Snap Inc Snap Snap Ads,10088,6.11,Resources,10/06/2021
Snap Inc Snap Snap Ads,4407,5.67,Resources,11/06/2021
Snap Inc Snap Snap Ads,3084,6.09,Resources,12/06/2021
Snap Inc Snap Snap Ads,2853,6.84,Resources,13/06/2021
Snap Inc Snap Snap Ads,1122,6.43,Resources,14/06/2021
Snap Inc Snap Snap Ads,13,5.85,Resources,15/06/2021
Snap Inc Snap Snap Ads,9911,6.18,Resources,16/06/2021
Snap Inc Snap Snap Ads,7912,5.92,Resources,17/06/2021
Snap Inc Snap Snap Ads,1058,5.87,Resources,21/06/2021
Snap Inc Snap Snap Ads,6645,6.44,Resources,21/06/2021
Snap Inc Snap Snap Ads,6648,6.00,Resources,21/06/2021
Snap Inc Snap Snap Ads,7354,6.33,Resources,22/06/2021
Snap Inc Snap Snap Ads,8829,5.76,Resources,22/06/2021
Snap Inc Snap Snap Ads,3959,5.32,Resources,28/06/2021
Snap Inc Snap Snap Ads,4510,5.40,Resources,28/06/2021
Snap Inc Snap Snap Ads,4513,5.97,Resources,28/06/2021
Snap Inc Snap Snap Ads,6300,6.28,Resources,28/06/2021
Snap Inc Snap Snap Ads,6603,5.78,Resources,28/06/2021
Snap Inc Snap Snap Ads,6871,6.01,Resources,28/06/2021
Snap Inc Snap Snap Ads,7143,5.34,Resources,29/06/2021
Snap Inc Snap Snap Ads,9699,5.29,Resources,30/06/2021
Solihull Sstp,27127,13.00,People,14/06/2021
Sp * Matting Ltd,2522,102.43,Communities,22/06/2021
Sp * Trade Paint Direc,1424,366.85,Communities,02/06/2021
Spar Stores,7316,21.68,People,02/06/2021
Sq *eternal Flowers,29700,95.00,People,16/06/2021
Sq *rugby Pest Control,26749,175.00,Resources,15/06/2021
Sq *strive To Succeed,25300,150.00,People,24/06/2021
Sq *strive To Succeed,25304,120.00,People,24/06/2021
Sq *strive To Succeed,36689,150.00,People,24/06/2021
St John Ambulance,33321,150.00,Communities,15/06/2021
St John Ambulance,34994,315.00,Communities,17/06/2021
St John Ambulance,28833,150.00,Communities,28/06/2021
Stagecoach Service,7782,66.80,People,02/06/2021
Stagecoach Service,8284,58.70,People,04/06/2021
Stagecoach Service,13523,58.70,People,11/06/2021
Stagecoach Service,11834,48.92,People,18/06/2021
Stagecoach Service,12111,14.67,People,21/06/2021
Stagecoach Service,13852,48.92,People,25/06/2021
Staples,5625,209.80,People,21/06/2021
Starbucks,12108,7.12,People,03/06/2021
Starbucks,31198,3.38,People,10/06/2021
Starbucks,21596,3.61,People,17/06/2021
Starbucks,20971,8.38,People,22/06/2021
Stationeryu,3083,222.30,People,21/06/2021
Stitch-Tech Limited,11589,29.95,Fire and Rescue,29/06/2021
Stk*shutterstock,36725,-737.50,Resources,14/06/2021
Stk*shutterstock,37022,-149.17,Resources,15/06/2021
Stratrode S Stn,36546,1.99,People,17/06/2021
Subway 24390 Leamingto,20354,7.08,People,15/06/2021
Sumup *gem Cabs,33214,104.00,People,10/06/2021
Sumup *gem Cabs,25707,104.00,People,14/06/2021
Sumup *gem Cabs,32234,156.00,People,17/06/2021
Sumup *german Parts Sp,32022,1416.67,Communities,17/06/2021
Sumup *leatherpear,2635,35.00,Resources,12/06/2021
Sumup *mt Phones Limit,23930,70.00,Fire and Rescue,08/06/2021
Sumup *sydenham Neighb,26988,2.25,People,21/06/2021
Sumup *the Cake & Chee,28034,41.00,Communities,18/06/2021
Sumup *the Cake & Chee,28042,41.00,Communities,18/06/2021
Sumup *the Cake & Chee,28952,85.00,Communities,18/06/2021
Sumup *the Cake & Chee,29345,52.00,Communities,23/06/2021
Sumup *the Cake & Chee,30321,52.00,Communities,23/06/2021
Tenpin.Co.Uk,33461,22.41,People,09/06/2021
Tenpin.Co.Uk,35127,22.41,People,10/06/2021
Tenpin.Co.Uk,29699,12.95,People,11/06/2021
Tesco Online,13127,16.66,Communities,16/06/2021
Tesco Pay At Pump 4003,13431,35.25,Communities,07/06/2021
Tesco Pay At Pump 4003,11579,13.33,Communities,08/06/2021
Tesco Store 2813,13000,2.00,People,23/06/2021
Tesco Store 2836,7488,50.00,Communities,02/06/2021
Tesco Store 2836,10175,12.08,Communities,08/06/2021
Tesco Store 2836,10498,162.97,Communities,25/06/2021
Tesco Store 2836,8882,133.00,Communities,28/06/2021
Tesco Store 2836,11168,12.65,Communities,29/06/2021
Tesco Store 2836,12299,144.05,Communities,30/06/2021
Tesco Store 3115,10736,28.90,People,14/06/2021
Tesco Store 3370,12601,10.92,People,14/06/2021
Tesco Store 3370,14198,40.87,People,17/06/2021
Tesco Store 3370,12739,8.33,Communities,29/06/2021
Tesco Store 3370,12739,8.33,Communities,29/06/2021
Tesco Stores 2974,4696,2.30,Communities,12/06/2021
Tesco Stores 6006,8212,24.00,People,01/06/2021
The Banbury Counsellin,2333,50.00,Fire and Rescue,21/06/2021
The Green Tea Room,4043,2.86,People,09/06/2021
The Makaton Charit,25808,145.83,People,30/06/2021
The Planning Handbook,6365,1491.00,Communities,16/06/2021
The Range,23188,6.66,Fire and Rescue,18/06/2021
The Royal Mint,33955,22.00,Fire and Rescue,17/06/2021
The Royal Victoria,31247,60.00,People,15/06/2021
Theihe.Org,5845,450.00,Communities,11/06/2021
Theory Test Pro,1315,7.50,Fire and Rescue,23/06/2021
Thetrainline.Com,5416,16.80,People,01/06/2021
Thetrainline.Com,4851,9.86,People,01/06/2021
Thetrainline.Com,3286,11.59,People,03/06/2021
Thetrainline.Com,4781,16.63,People,04/06/2021
Thetrainline.Com,5332,7.93,People,07/06/2021
Thetrainline.Com,3064,9.36,People,09/06/2021
Thetrainline.Com,15321,17.34,People,17/06/2021
Thetrainline.Com,7997,11.59,People,23/06/2021
Thetrainline.Com,76,17.34,People,24/06/2021
Thetrainline.Com,218,107.65,People,24/06/2021
Thetrainline.Com,3681,268.03,People,24/06/2021
Thetrainline.Com,9291,27.20,People,25/06/2021
Thetrainline.Com,6796,163.48,People,28/06/2021
Thetrainline.Com,4953,15.46,People,28/06/2021
Thetrainline.Com,4959,-5.90,People,28/06/2021
Thetrainline.Com,6137,25.02,People,28/06/2021
Thomas Telford Limit,30597,490.00,Communities,14/06/2021
Thomas Telford Limit,5558,595.00,Communities,18/06/2021
Tic Trading Ltd,17502,270.83,People,29/06/2021
Ticketsource,1168,3.80,Resources,12/06/2021
Timpson Ltd,25433,10.50,Fire and Rescue,24/06/2021
Trainline,5346,20.34,People,01/06/2021
Trainline,6034,-9.10,People,02/06/2021
Trainline,5549,-9.10,People,04/06/2021
Trainline,6207,7.93,People,07/06/2021
Trainline,6215,8.54,People,07/06/2021
Trainline,8881,16.40,People,09/06/2021
Trainline,6297,-6.40,People,14/06/2021
Trainline,6237,30.41,People,14/06/2021
Trainline,6289,-5.90,People,14/06/2021
Trainline,10248,-5.90,People,16/06/2021
Trainline,8024,11.35,People,21/06/2021
Trainline,8028,28.25,People,21/06/2021
Trainline,8056,40.90,People,21/06/2021
Trainline,9549,11.35,People,22/06/2021
Trainline,9084,10.78,People,25/06/2021
Trainline,9104,10.78,People,25/06/2021
Trainline,16405,11.59,People,30/06/2021
Trainline.Com,5174,-9.40,People,01/06/2021
Trainline.Com,5146,8.54,People,01/06/2021
Trainline.Com,5154,7.93,People,01/06/2021
Trainline.Com,5162,8.54,People,01/06/2021
Trainline.Com,5603,17.54,People,02/06/2021
Trainline.Com,5152,42.66,People,04/06/2021
Trainline.Com,5156,-4.60,People,04/06/2021
Trainline.Com,9456,107.95,People,10/06/2021
Trainline.Com,3107,17.54,People,11/06/2021
Trainline.Com,3095,30.41,People,11/06/2021
Trainline.Com,3091,15.66,People,11/06/2021
Trainline.Com,8541,15.46,People,23/06/2021
Trainline.Com,8565,79.48,People,23/06/2021
Trainline.Com,1794,8.54,People,28/06/2021
Trainline.Com,1802,7.93,People,28/06/2021
Travelodge Gb0000,15986,47.58,People,03/06/2021
Travelodge Gb0000,31422,1.84,People,16/06/2021
Travelodge Gb0000,31422,70.47,People,16/06/2021
Travelodge Gb0000,31422,35.23,People,16/06/2021
Travelodge Gb0000,25412,74.78,People,24/06/2021
Travelodge Gb0000,24211,179.47,People,25/06/2021
Travelodge Gb0000,28249,128.20,People,29/06/2021
Treads,31489,47.00,Resources,16/06/2021
Tu At Sainsburys,27611,151.62,People,10/06/2021
Tudor Environmental,9463,285.00,Communities,01/06/2021
Tudor Environmental,10690,255.00,Communities,02/06/2021
Tudor Environmental,10948,-4.70,Communities,02/06/2021
Tudor Environmental,12629,19.35,Communities,28/06/2021
Tudor Environmental,12632,92.40,Communities,28/06/2021
Tutor Hunt,2866,37.50,People,04/06/2021
Tutor Hunt,2875,37.50,People,11/06/2021
Tutor Hunt,2071,37.50,People,18/06/2021
Tvlicensing.Co.Uk,5091,159.00,People,04/06/2021
Tvlicensing.Co.Uk,2939,159.00,Fire and Rescue,17/06/2021
Tvlicensing.Co.Uk,2943,159.00,People,17/06/2021
Tvlicensing.Co.Uk,4142,159.00,People,18/06/2021
Tvlicensing.Co.Uk,8078,159.00,Communities,21/06/2021
Tvlicensing.Co.Uk,6343,159.00,Communities,29/06/2021
Tyre Fit Auto Ltd,15349,306.85,Fire and Rescue,11/06/2021
Uber *trip Help.Uber.C,9917,48.73,People,10/06/2021
Ukata,1541,133.77,Resources,21/06/2021
Ultra Secure Ltd,21435,907.87,Communities,15/06/2021
V7 Store,16727,3.00,People,10/06/2021
Vale Engineering (York,7848,40.00,Communities,02/06/2021
Vale Engineering (York,7848,40.00,Communities,02/06/2021
Vale Engineering (York,7848,40.00,Communities,02/06/2021
Vale Engineering (York,7848,20.00,Communities,02/06/2021
Vale Engineering (York,7848,20.00,Communities,02/06/2021
Very,19316,188.99,People,23/06/2021
Vesta *vodafone Topup,30544,40.00,Resources,07/06/2021
Vesta Vodafone,32584,40.00,Resources,07/06/2021
Viking Uk,25626,383.92,Communities,04/06/2021
Viking Uk,25686,55.47,Communities,07/06/2021
Viking Uk,18500,53.23,Communities,25/06/2021
Village Store Local Lt,17584,4.69,People,08/06/2021
Virtualinout.Com,40718,4.76,Communities,29/06/2021
Warwick District Counc,9913,357.44,People,08/06/2021
Warwick District Counc,11844,258.89,People,23/06/2021
Warwick District Counc,14982,30.00,People,24/06/2021
Warwick District Counc,9985,126.00,People,25/06/2021
Warwick District Counc,10711,178.00,People,30/06/2021
Warwick Museum,3735,19.35,Communities,08/06/2021
Warwick Station T/O,26153,10.80,People,30/06/2021
Warwickshire And West,36450,95.83,People,17/06/2021
Wcc Planning And Highw,2516,100.00,Resources,22/06/2021
Wcc Planning And Highw,18932,-100.00,Resources,28/06/2021
Wenman Healthcare Ltd,1768,128.03,Communities,03/06/2021
Whsmith.Co.Uk,22563,19.79,People,30/06/2021
Wickes Tamworth,25816,7.54,Communities,25/06/2021
Wm Morrisons Store,16776,4.80,People,03/06/2021
Wm Morrisons Store,23510,22.00,People,17/06/2021
Worcestershire Cou,19740,104.00,Communities,02/06/2021
Worcestershire Cou,30034,104.00,Communities,09/06/2021
Wp-Warwickshire Co,7809,11.00,People,04/06/2021
Wp-Warwickshire Co,7813,11.00,People,04/06/2021
Wp-Warwickshire Co,9334,11.00,People,07/06/2021
Wp-Warwickshire Co,9338,11.00,People,07/06/2021
Wp-Warwickshire Co,9342,11.00,People,07/06/2021
Wp-Warwickshire Co,9346,11.00,People,07/06/2021
Wp-Warwickshire Co,13142,11.00,People,09/06/2021
Wp-Warwickshire Co,15411,11.00,People,09/06/2021
Wp-Warwickshire Co,13515,11.00,People,11/06/2021
Wp-Warwickshire Co,10376,11.00,People,15/06/2021
Wp-Warwickshire Co,12542,11.00,People,21/06/2021
Wp-Warwickshire Co,14040,11.00,People,22/06/2021
Wp-Warwickshire Co,15989,11.00,People,24/06/2021
Wp-Warwickshire Co,14211,11.00,People,30/06/2021
Wp-Warwickshire Co,14215,11.00,People,30/06/2021
Www Espares Co Uk,36328,11.94,Communities,08/06/2021
Www.Aleretoxicology.Co,13848,140.00,People,21/06/2021
Www.Archersigns.Co.Uk,14632,39.85,Communities,14/06/2021
Www.Asos.Com,28936,35.00,Communities,10/06/2021
Www.Asos.Com,6886,-24.00,Communities,12/06/2021
Www.Bestinthecountry.C,14919,28.08,Communities,28/06/2021
Www.Bifm.Org.Uk,27186,126.00,Resources,30/06/2021
Www.Britishgas.Co.,34094,415.83,People,17/06/2021
Www.Cieem.Net,30719,10.00,Communities,24/06/2021
Www.Clickcleaning.Co.U,18024,96.58,Communities,22/06/2021
Www.Clothes2order.Com,25226,801.47,People,02/06/2021
Www.Coram.Org.Uk,11227,30.00,People,25/06/2021
Www.Coram.Org.Uk,11231,21.95,People,25/06/2021
Www.Costco.Co.Uk,16520,191.66,Communities,17/06/2021
Www.Costco.Co.Uk,15663,459.98,Communities,28/06/2021
Www.Coventry.Gov.Uk,21265,1004.20,People,01/06/2021
Www.Coventry.Gov.Uk,19644,11.00,Resources,02/06/2021
Www.Coventry.Gov.Uk,19492,11.00,Resources,04/06/2021
Www.Coventry.Gov.Uk,19495,11.00,Resources,04/06/2021
Www.Coventry.Gov.Uk,24010,22.00,People,08/06/2021
Www.Coventry.Gov.Uk,24013,11.00,People,08/06/2021
Www.Coventry.Gov.Uk,30116,-11.00,Resources,15/06/2021
Www.Coventryturf.Co.Uk,10466,421.20,People,07/06/2021
Www.Cultpen.Com,20173,29.46,Resources,01/06/2021
Www.Cultpen.Com,21975,27.00,Communities,08/06/2021
Www.Durham.Gov.Uk,35493,11.00,People,24/06/2021
Www.Educationalhea,25787,183.33,People,07/06/2021
Www.Escape-Watersports,24589,247.41,Communities,09/06/2021
Www.Force4.Co.Uk,31339,18.21,Communities,16/06/2021
Www.Gompels.Co.Uk,10707,71.40,Resources,03/06/2021
Www.Gompels.Co.Uk,15680,60.00,Resources,11/06/2021
Www.Gov.Uk,24143,3.00,Resources,25/06/2021
Www.Hsstraining.Com,24448,277.52,Communities,02/06/2021
Www.Instantprint.C,21246,44.66,Communities,21/06/2021
Www.Mad4tools.Com,16242,4.12,Communities,30/06/2021
Www.Mad4tools.Com,16242,48.42,Communities,30/06/2021
Www.Mitaxis.Com,16161,36.00,People,10/06/2021
Www.Mitaxis.Com,15826,30.00,People,17/06/2021
Www.Mitrelinen.Com,35078,193.11,Communities,22/06/2021
Www.Moneyclaim.Gov,24833,115.00,Resources,03/06/2021
Www.Neopost.Co.Uk,8682,250.00,People,17/06/2021
Www.Nisbets.Com,34000,51.43,Communities,22/06/2021
Www.Nuneatonandbedwort,10275,966.72,People,08/06/2021
Www.Nuneatonandbedwort,9258,232.46,People,08/06/2021
Www.Ofcom.Org.Uk,15638,75.00,Communities,15/06/2021
Www.Opusenergy.Com,25704,73.22,Communities,24/06/2021
Www.Papajohns.Co.Uk,29321,17.99,People,21/06/2021
Www.Peymans.Uk,16558,1204.28,People,11/06/2021
Www.Peymans.Uk,19128,583.33,People,24/06/2021
Www.Premierlockers.Co.,7577,400.00,Fire and Rescue,01/06/2021
Www.Sarabec.Co.Uk,15555,52.45,People,28/06/2021
Www.Scafftag.Co.Uk,27194,216.88,Communities,30/06/2021
Www.Secure-Payment-Ser,17943,5.00,People,23/06/2021
Www.Squab.Co.Uk,15353,51.60,People,15/06/2021
Www.Stass.Co.Uk,27262,170.00,People,30/06/2021
Www.Stitchtech.Co.Uk,10752,111.60,Resources,01/06/2021
Www.Stitchtech.Co.Uk,15362,9.98,Fire and Rescue,14/06/2021
Www.Tudorenvironmental,16785,257.36,Communities,24/06/2021
Www.Tudorenvironmental,15584,309.81,Communities,30/06/2021
Www.Voucherexpress.Co.,4910,20.00,Resources,11/06/2021
Www.Yourfranking.Com,18407,144.90,Communities,24/06/2021
Yell Limited,31435,391.75,Communities,22/06/2021
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
