Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group
230120,AG Instruments,51208655,C1060,Grants & Contributions To Outside Organisations,1816.04,04/05/2017,Capital
200201,Age UK Warwickshire,51208157,R5807,Social Care Block Contracts,4615,26/05/2017,People Group
200201,Age UK Warwickshire,51208169,R5807,Social Care Block Contracts,1846,26/05/2017,People Group
200201,Age UK Warwickshire,51208166,R5807,Social Care Block Contracts,4615,26/05/2017,People Group
231993,Aim Educational Ltd,51199446,R5702,Payments to External Contractors,2760,05/05/2017,Communities
100245,Albemarle Rest Home Ltd,51220891,R5806,Residential Care,3600,24/05/2017,People Group
100245,Albemarle Rest Home Ltd,51220891,R5806,Residential Care,6686.72,24/05/2017,People Group
100245,Albemarle Rest Home Ltd,51220891,R5806,Residential Care,2563.01,24/05/2017,People Group
208797,Alcester Academy (ACAD) School,51220712,R6107,SEN Statements Funding,3419,23/05/2017,Communities
207814,Alcester Grammar School (Academy),51220716,R6107,SEN Statements Funding,1429,23/05/2017,Communities
200109,All About People Counselling Services Ltd,51197832,R4409,Consultancy,4980,04/05/2017,Resources
100004,Allambie Court Nursing Home,51220892,R5806,Residential Care,2014.13,24/05/2017,People Group
100004,Allambie Court Nursing Home,51220892,R5806,Residential Care,13965.06,24/05/2017,People Group
100435,Allambie Enterprises,51220893,R5806,Residential Care,1653.64,24/05/2017,People Group
230581,Alliantist Ltd,51220592,R4512,Software,85000,25/05/2017,People Group
207773,Allstar Business Solutions Ltd,51212183,R3001,Vehicle Operating Costs,27412.6,04/05/2017,Communities
228198,Alpha Care Homes - Waters Edge,51221176,R5806,Residential Care,1929.32,24/05/2017,People Group
200287,Alsters Kelley Solicitors,51222442,R4409,Consultancy,987.68,26/05/2017,People Group
223286,Ambion Contractors Ltd,51215752,R4010,Equipment Hire,500,26/05/2017,Communities
217874,AMEC Foster Wheeler Environment & Infrastructure UK Ltd,51197086,R4409,Consultancy,1690.38,03/05/2017,Resources
217874,AMEC Foster Wheeler Environment & Infrastructure UK Ltd,51214879,C1050,External Fees,6436.5,12/05/2017,Capital
217874,AMEC Foster Wheeler Environment & Infrastructure UK Ltd,51214864,C1050,External Fees,3834,12/05/2017,Capital
217874,AMEC Foster Wheeler Environment & Infrastructure UK Ltd,51214883,C1050,External Fees,3492.83,12/05/2017,Capital
999982,AMV Law,51217588,R4928,Other Insurance Claims,-4500,15/05/2017,Other Services
233607,Anchor Trust ( Tandy Court),51221133,R5806,Residential Care,1494.86,24/05/2017,People Group
200317,Andrell Education,51214740,R1601,Training,900,24/05/2017,Schools
230129,Angel Care Tamworth Ltd,51214818,R5805,Homecare - External Domiciliary,1090.4,09/05/2017,People Group
,Angel Care Tamworth Ltd,,R5805,Homecare - External Domiciliary,"50,000.00",03/05/2017,People Group
230228,Anya Court Care Home,51183471,R5806,Residential Care,3995.65,23/05/2017,People Group
230228,Anya Court Care Home,51203459,R5806,Residential Care,1896.24,23/05/2017,People Group
230228,Anya Court Care Home,51220898,R5806,Residential Care,1932.88,24/05/2017,People Group
200389,Apetito Ltd,51197764,R5809,Adult Social Care Contracts,15697.07,04/05/2017,People Group
200389,Apetito Ltd,51197769,R5809,Adult Social Care Contracts,627.25,04/05/2017,People Group
200389,Apetito Ltd,51197756,R5809,Adult Social Care Contracts,-772,04/05/2017,People Group
200389,Apetito Ltd,51214023,R5807,Social Care Block Contracts,624,24/05/2017,People Group
200389,Apetito Ltd,51213527,R5809,Adult Social Care Contracts,768,26/05/2017,People Group
200389,Apetito Ltd,51213804,R5807,Social Care Block Contracts,15174.62,26/05/2017,People Group
215154,Applewood Support Ltd,51206645,R5805,Homecare - External Domiciliary,1299.6,12/05/2017,People Group
215154,Applewood Support Ltd,51220490,R5851,Supported Living,1482,23/05/2017,People Group
215154,Applewood Support Ltd,51220488,R5851,Supported Living,1198.52,23/05/2017,People Group
