Trans No,Supplier,Amount,Directorate,Pay Date
319,Amznmktplace,6.24,Communities,09/08/2021
2005,Amznmktplace,11.66,Communities,09/08/2021
441,Amznmktplace,115.66,Communities,09/08/2021
556,Amznmktplace,58.32,Communities,09/08/2021
1664,Amznmktplace,118.31,Communities,10/08/2021
16676,Amznmktplace,108.32,Communities,10/08/2021
19741,Amznmktplace,216.65,Communities,10/08/2021
305,Amznmktplace,257.50,People,10/08/2021
254,Amznmktplace,12.47,Communities,10/08/2021
2291,Amznmktplace,24.96,People,10/08/2021
4468,Amznmktplace,96.60,Communities,10/08/2021
1130,Amznmktplace,146.63,Communities,11/08/2021
385,Amznmktplace,73.27,Communities,11/08/2021
21237,Amznmktplace,14.12,People,11/08/2021
4168,Amznmktplace,14.95,Communities,11/08/2021
9781,Amznmktplace,1.62,Communities,12/08/2021
15930,Amznmktplace,18.92,Communities,12/08/2021
27239,Amznmktplace,3.98,People,12/08/2021
4128,Amznmktplace,262.47,Communities,13/08/2021
1242,Amznmktplace,30.82,People,14/08/2021
1041,Amznmktplace,31.65,Resources,15/08/2021
949,Amznmktplace,9.98,People,15/08/2021
6523,Amznmktplace,9.69,Communities,16/08/2021
2603,Amznmktplace,7.46,Fire and Rescue,16/08/2021
11345,Amznmktplace,23.25,Fire and Rescue,16/08/2021
4470,Amznmktplace,5.27,Fire and Rescue,16/08/2021
4513,Amznmktplace,24.98,Fire and Rescue,16/08/2021
2571,Amznmktplace,124.97,Resources,16/08/2021
4711,Amznmktplace,16.11,Communities,16/08/2021
11457,Amznmktplace,116.74,Communities,17/08/2021
15509,Amznmktplace,19.97,Fire and Rescue,17/08/2021
4074,Amznmktplace,9.69,Communities,17/08/2021
2766,Amznmktplace,41.65,Fire and Rescue,17/08/2021
4135,Amznmktplace,16.65,Fire and Rescue,17/08/2021
4612,Amznmktplace,14.32,Fire and Rescue,17/08/2021
6718,Amznmktplace,5.47,Fire and Rescue,17/08/2021
4043,Amznmktplace,13.57,Fire and Rescue,17/08/2021
5222,Amznmktplace,16.36,Communities,18/08/2021
11763,Amznmktplace,17.15,Communities,18/08/2021
4521,Amznmktplace,6.02,Communities,18/08/2021
4996,Amznmktplace,4.08,Communities,18/08/2021
1694,Amznmktplace,20.75,Resources,18/08/2021
5058,Amznmktplace,13.32,Fire and Rescue,18/08/2021
2781,Amznmktplace,13.32,Communities,19/08/2021
1152,Amznmktplace,7.91,Fire and Rescue,19/08/2021
11062,Amznmktplace,59.59,People,19/08/2021
11553,Amznmktplace,17.49,People,19/08/2021
4944,Amznmktplace,19.98,People,19/08/2021
1094,Amznmktplace,44.16,Communities,20/08/2021
3780,Amznmktplace,14.03,Communities,20/08/2021
606,Amznmktplace,39.95,Communities,21/08/2021
293,Amznmktplace,120.69,Communities,22/08/2021
1787,Amznmktplace,14.07,Communities,22/08/2021
1739,Amznmktplace,17.49,People,22/08/2021
1663,Amznmktplace,9.65,Communities,22/08/2021
6522,Amznmktplace,23.32,Communities,23/08/2021
17552,Amznmktplace,9.00,Resources,23/08/2021
255,Amznmktplace,57.67,Fire and Rescue,23/08/2021
3632,Amznmktplace,51.08,Resources,23/08/2021
2814,Amznmktplace,9.73,Fire and Rescue,23/08/2021
9245,Amznmktplace,18.14,Fire and Rescue,23/08/2021
2545,Amznmktplace,12.91,People,23/08/2021
3257,Amznmktplace,7.91,People,23/08/2021
3360,Amznmktplace,6.99,Communities,23/08/2021
2587,Amznmktplace,30.00,Resources,23/08/2021
3866,Amznmktplace,34.99,Communities,24/08/2021
3362,Amznmktplace,6.62,Fire and Rescue,24/08/2021
20803,Amznmktplace,102.06,Communities,24/08/2021
4695,Amznmktplace,11.66,Communities,25/08/2021
8147,Amznmktplace,16.99,People,25/08/2021
1615,Amznmktplace,53.30,Communities,25/08/2021
7569,Amznmktplace,96.23,Communities,25/08/2021
308,Amznmktplace,4.95,People,25/08/2021
47,Amznmktplace,7.49,People,25/08/2021
1920,Amznmktplace,64.99,Communities,25/08/2021
7178,Amznmktplace,15.98,Communities,25/08/2021
3343,Amznmktplace,66.25,Communities,26/08/2021
439,Amznmktplace,17.48,Communities,26/08/2021
11869,Amznmktplace,11.77,Resources,26/08/2021
16088,Amznmktplace,19.12,Resources,26/08/2021
2903,Amznmktplace,2.74,Resources,26/08/2021
11873,Amznmktplace,41.65,People,26/08/2021
9356,Amznmktplace,49.98,People,26/08/2021
3894,Amznmktplace,9.57,Resources,26/08/2021
687,Amznmktplace,75.37,People,26/08/2021
1590,Amznmktplace,23.30,Resources,27/08/2021
1681,Amznmktplace,2.51,Resources,27/08/2021
5089,Amznmktplace,6.79,Resources,27/08/2021
2483,Amznmktplace,118.74,Communities,27/08/2021
863,Amznmktplace,219.97,Communities,27/08/2021
744,Amznmktplace,3.58,People,27/08/2021
260,Amznmktplace,39.57,Resources,27/08/2021
3876,Amznmktplace,12.94,People,27/08/2021
825,Amznmktplace,540.00,People,27/08/2021
1515,Amznmktplace,58.32,Communities,28/08/2021
865,Amznmktplace,41.25,Communities,28/08/2021
109,Amznmktplace,39.25,Communities,29/08/2021
919,Amznmktplace,104.73,Communities,30/08/2021
3703,Amznmktplace Amazon.Co,44.91,Communities,05/08/2021
6191,Amznmktplace Amazon.Co,59.99,Communities,06/08/2021
2225,Amznmktplace Amazon.Co,27.51,Communities,08/08/2021
1257,Amznmktplace Amazon.Co,17.80,Resources,09/08/2021
7357,Amznmktplace Amazon.Co,219.95,Communities,11/08/2021
1851,Amznmktplace Amazon.Co,19.98,Communities,15/08/2021
3748,Amznmktplace Amazon.Co,19.15,Resources,20/08/2021
5804,Amznmktplace Amazon.Co,12.60,Communities,23/08/2021
1797,Amznmktplace Amazon.Co,330.82,People,28/08/2021
1346,Amznmktplace Amazon.Co,172.83,People,29/08/2021
2888,Amznmktplace Amazon.Co,12.49,Communities,31/08/2021
3249,Anker Service Station,11.00,People,04/08/2021
3232,Anyvanuk,260.00,People,03/08/2021
27859,Ao Retail Limited,209.00,People,03/08/2021
26504,Ao Retail Limited,349.17,People,10/08/2021
24131,Ao Retail Limited,165.83,People,12/08/2021
