Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group
235243,The Attachment Research Community,51423061,R5702,Payments to External Contractors,1375.00,23/08/2018,Communities
228974,The Brandon Trust,51426808,R5807,Social Care Block Contracts,21199.51,07/08/2018,People Group
228974,The Brandon Trust,51426809,R5807,Social Care Block Contracts,29764.58,07/08/2018,People Group
213102,The Castle Medical Centre,51431834,R5702,Payments to External Contractors,524.58,30/08/2018,Communities
235943,The Change Maker Group Ltd,51425753,R4409,Consultancy,3850.00,31/08/2018,Resources
235943,The Change Maker Group Ltd,51414397,R4409,Consultancy,9900.00,01/08/2018,Resources
201481,The Coventry And Solihull Waste Disposal Company Ltd,51420648,R5702,Payments to External Contractors,74740.69,03/08/2018,Communities
201481,The Coventry And Solihull Waste Disposal Company Ltd,51421937,R5702,Payments to External Contractors,149217.92,03/08/2018,Communities
201481,The Coventry And Solihull Waste Disposal Company Ltd,51420649,R5702,Payments to External Contractors,166123.93,03/08/2018,Communities
226152,The Coventry Refugee and Migrant Centre (****5764),51428838,R5702,Payments to External Contractors,959.88,24/08/2018,Communities
226152,The Coventry Refugee and Migrant Centre (****5764),51428841,R5702,Payments to External Contractors,1174.77,22/08/2018,Communities
233020,The Engineering Practice Ltd,51416125,R1101,Agency Staff Pay,2000.00,08/08/2018,Resources
213453,The George Eliot School Academy,51430507,R6107,SEN Statements Funding,2556.00,21/08/2018,Communities
233599,The Holy Family Catholic Multi Academy Company,51430497,R6107,SEN Statements Funding,614.00,21/08/2018,Communities
233599,The Holy Family Catholic Multi Academy Company,51430529,R6107,SEN Statements Funding,1979.00,21/08/2018,Communities
233599,The Holy Family Catholic Multi Academy Company,51430536,R6107,SEN Statements Funding,7940.00,21/08/2018,Communities
227988,The Holy SPIRIT Catholic Multi Academy t/a St Benedict's Catholic Primary,51430528,R6107,SEN Statements Funding,1221.00,21/08/2018,Communities
227985,"The Holy SPIRIT Catholic Multi Academy, St Annes Catholic Primary School",51430496,R6107,SEN Statements Funding,715.00,21/08/2018,Communities
227985,"The Holy SPIRIT Catholic Multi Academy, St Annes Catholic Primary School",51424674,R6106,Early Years Funding (PVIs and LA),1910.40,01/08/2018,Schools
200289,The Kenelm Youth Trust Ltd,51417905,R4915,Schools Specific - Other Expenditure,1196.00,09/08/2018,Schools
222542,The Knowledge Academy,51424901,R1601,Training,1000.00,29/08/2018,Fire and Rescue
222542,The Knowledge Academy,51424561,R1601,Training,3000.00,24/08/2018,Resources
206141,The Lemon Press Ltd,51423490,R4310,"Printing, Photocopying and Reprographics",523.00,24/08/2018,Resources
206141,The Lemon Press Ltd,51423396,R4310,"Printing, Photocopying and Reprographics",751.00,24/08/2018,Resources
206141,The Lemon Press Ltd,51414291,R4310,"Printing, Photocopying and Reprographics",823.00,01/08/2018,Resources
206141,The Lemon Press Ltd,51424941,R4310,"Printing, Photocopying and Reprographics",866.00,30/08/2018,Resources
206141,The Lemon Press Ltd,51414400,R4310,"Printing, Photocopying and Reprographics",927.00,01/08/2018,Resources
206141,The Lemon Press Ltd,51423489,R4310,"Printing, Photocopying and Reprographics",1470.00,24/08/2018,Resources
236837,The Management Recruitment Group Ltd,51424233,R1408,Other Staffing Costs,12500.00,24/08/2018,Resources
206157,The Media Collective Ltd,51419563,R4008,Equipment,1737.00,10/08/2018,Fire and Rescue
218075,The Nethersole CE Primary (Academy),51430479,R6107,SEN Statements Funding,614.00,21/08/2018,Communities
206164,The Nuneaton Academy,51430535,R6107,SEN Statements Funding,2704.00,21/08/2018,Communities
206174,The Parenting Project,51423035,R5702,Payments to External Contractors,183459.00,06/08/2018,People Group
225509,The Penderels Trust Ltd,51416070,R5702,Payments to External Contractors,983.59,03/08/2018,People Group
225509,The Penderels Trust Ltd,51424559,R5807,Social Care Block Contracts,1256.57,24/08/2018,People Group
225509,The Penderels Trust Ltd,51424567,R5807,Social Care Block Contracts,1774.51,24/08/2018,People Group
225509,The Penderels Trust Ltd,51424568,R5807,Social Care Block Contracts,2878.60,24/08/2018,People Group
225509,The Penderels Trust Ltd,51416080,R5702,Payments to External Contractors,3805.79,03/08/2018,People Group
225509,The Penderels Trust Ltd,51416059,R5807,Social Care Block Contracts,4466.41,08/08/2018,People Group
225509,The Penderels Trust Ltd,51416046,R5807,Social Care Block Contracts,16235.21,08/08/2018,People Group
225509,The Penderels Trust Ltd,51424569,R5807,Social Care Block Contracts,71774.50,24/08/2018,People Group
230629,The Polesworth School - Community Academies Trust,51428899,R4441,Professional Fees,1000.00,29/08/2018,Communities
204890,The Polesworth School (Academy),51430537,R6107,SEN Statements Funding,1942.00,21/08/2018,Communities
222211,The Pool Medical Centre,51431915,R5702,Payments to External Contractors,699.44,30/08/2018,Communities
218580,The Priors School - Free School,51430498,R6107,SEN Statements Funding,739.00,21/08/2018,Communities
206180,The Professional Promotion Company Ltd,51418341,R4301,"Advertising, Publicity & Promotion",1865.00,09/08/2018,Resources
204959,The Prudential Assurance Company Ltd,51426498,B6150,Payroll Third Party Payments - Academy Schools,6365.12,06/08/2018,Control Codes
226251,The Queen Elizabeth School - Academy,51430502,R6107,SEN Statements Funding,1841.00,21/08/2018,Communities
226251,The Queen Elizabeth School - Academy,51421963,R5702,Payments to External Contractors,2424.40,17/08/2018,Communities
209593,The Reading Agency,51420772,R4008,Equipment,3546.90,16/08/2018,Resources
206186,The Red Ridge Centre,51421573,R4915,Schools Specific - Other Expenditure,5080.00,17/08/2018,Schools
206191,The Rowan Organisation,51426027,R5702,Payments to External Contractors,603.34,31/08/2018,People Group
206191,The Rowan Organisation,51416121,R5702,Payments to External Contractors,640.66,03/08/2018,People Group
206191,The Rowan Organisation,51430627,R5702,Payments to External Contractors,696.64,24/08/2018,People Group
206191,The Rowan Organisation,51416113,R5807,Social Care Block Contracts,5940.10,03/08/2018,People Group
236675,The Social Care Training Hub,51419075,R5802,Substitute Care,2000.00,03/08/2018,People Group
215624,The Soil Association Certification Ltd,51421340,R5702,Payments to External Contractors,11250.00,09/08/2018,Communities
226255,The Stour Federation (Acorns Primary) - Academy,51424673,R6106,Early Years Funding (PVIs and LA),1668.16,01/08/2018,Schools
226256,The Stour Federation (Stour Primary) - Academy,51430521,R6107,SEN Statements Funding,5017.00,21/08/2018,Communities
226529,The Warwickshire and West Mercia Community Rehabilitation Company Ltd,51424426,R5702,Payments to External Contractors,750.00,16/08/2018,Communities
226529,The Warwickshire and West Mercia Community Rehabilitation Company Ltd,51424428,R5702,Payments to External Contractors,781.25,16/08/2018,Communities
206227,The Warwickshire Golf & Country Club,51416171,R2201,Rents & Lettings,591.67,02/08/2018,People Group
206227,The Warwickshire Golf & Country Club,51416233,R2201,Rents & Lettings,933.33,02/08/2018,People Group
206252,Thompsons Solicitors (Client Account),51426895,R4928,Other Insurance Claims,5000.00,09/08/2018,Other Services
225243,TIAA Ltd,51426387,R9202,"Sales, Fees & Charges",551.74,28/08/2018,Other Services
215590,TIVOD,51419121,R1601,Training,500.00,10/08/2018,Schools
236078,TLC Youth Care Ltd,51414194,R5806,Residential Care,13928.40,01/08/2018,People Group
