Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group
207773,Allstar Business Solutions Ltd,51243298,R3001,Vehicle Operating Costs,32614.41,04/07/2017,Communities
228198,Alpha Care Homes - Waters Edge,51255344,R5806,Residential Care,1931.08,27/07/2017,People Group
200291,Alveston Cygnets,51237906,R6106,Early Years Funding (PVIs and LA),3576.04,03/07/2017,Communities
223286,Ambion Contractors Ltd,51248443,R4010,Equipment Hire,3850,28/07/2017,Communities
233607,Anchor Trust ( Tandy Court),51255300,R5806,Residential Care,1744,27/07/2017,People Group
,Angel Care Tamworth Ltd,,R5805,Homecare - External Domiciliary,"35,000.00",28/07/2017,People Group
230129,Angel Care Tamworth Ltd,51232275,R5805,Homecare - External Domiciliary,812.16,27/07/2017,People Group
230129,Angel Care Tamworth Ltd,51256771,R5805,Homecare - External Domiciliary,1218.24,27/07/2017,People Group
230129,Angel Care Tamworth Ltd,51256776,R5805,Homecare - External Domiciliary,631.68,27/07/2017,People Group
230129,Angel Care Tamworth Ltd,51242868,R5805,Homecare - External Domiciliary,-50000,27/07/2017,People Group
230129,Angel Care Tamworth Ltd,51256753,R5805,Homecare - External Domiciliary,962.56,27/07/2017,People Group
230129,Angel Care Tamworth Ltd,51256760,R5805,Homecare - External Domiciliary,842.24,27/07/2017,People Group
230129,Angel Care Tamworth Ltd,51231177,R5805,Homecare - External Domiciliary,1188.16,27/07/2017,People Group
230129,Angel Care Tamworth Ltd,51231176,R5805,Homecare - External Domiciliary,736.96,27/07/2017,People Group
230129,Angel Care Tamworth Ltd,51212648,R5805,Homecare - External Domiciliary,-50000,27/07/2017,People Group
230129,Angel Care Tamworth Ltd,51215926,R5805,Homecare - External Domiciliary,1383.68,27/07/2017,People Group
230129,Angel Care Tamworth Ltd,51225774,R5805,Homecare - External Domiciliary,834.72,27/07/2017,People Group
230129,Angel Care Tamworth Ltd,51225777,R5805,Homecare - External Domiciliary,855.28,27/07/2017,People Group
230129,Angel Care Tamworth Ltd,51231169,R5805,Homecare - External Domiciliary,1684.48,27/07/2017,People Group
230129,Angel Care Tamworth Ltd,51231170,R5805,Homecare - External Domiciliary,736.96,27/07/2017,People Group
230129,Angel Care Tamworth Ltd,51231171,R5805,Homecare - External Domiciliary,782.08,27/07/2017,People Group
230129,Angel Care Tamworth Ltd,51231173,R5805,Homecare - External Domiciliary,1707.04,27/07/2017,People Group
200349,Anglia DNA Services Ltd,51242903,R4443,SCHOOLS ONLY Professional Fees Admin,560,11/07/2017,Resources
221113,Ani-Chem Ltd t/a Lister Chemists,51247720,R5702,Payments to External Contractors,552.24,19/07/2017,Communities
230228,Anya Court Care Home,51255062,R5806,Residential Care,1934.24,27/07/2017,People Group
200389,Apetito Ltd,51240918,R5807,Social Care Block Contracts,-1536,06/07/2017,People Group
200389,Apetito Ltd,51228865,R5807,Social Care Block Contracts,1441.18,06/07/2017,People Group
200389,Apetito Ltd,51238220,R5807,Social Care Block Contracts,-676,26/07/2017,People Group
200389,Apetito Ltd,51238212,R5807,Social Care Block Contracts,14905.07,26/07/2017,People Group
200389,Apetito Ltd,51238206,R5807,Social Care Block Contracts,549.25,26/07/2017,People Group
210713,Apple Grove Day Nursery Ltd,51237962,R6106,Early Years Funding (PVIs and LA),3988.66,03/07/2017,Communities
234018,Applegarth Residential Care Home,51255063,R5806,Residential Care,1921.64,27/07/2017,People Group
215154,Applewood Support Ltd,51247136,R5805,Homecare - External Domiciliary,1335.6,11/07/2017,People Group
215154,Applewood Support Ltd,51256349,R5851,Supported Living,1164.94,26/07/2017,People Group
215154,Applewood Support Ltd,51256348,R5851,Supported Living,1500.75,26/07/2017,People Group
200398,Apt Controls Ltd,51240212,R5702,Payments to External Contractors,1994.5,14/07/2017,Communities
213826,Arbury Medical Centre,51253787,R5702,Payments to External Contractors,924,31/07/2017,Communities
233583,ARC - Achieving Results in Communities CIC,51245477,R5702,Payments to External Contractors,4970,12/07/2017,Communities
230535,Archway Community College (Academy),51230355,R6107,SEN Statements Funding,2948,07/07/2017,Communities
230535,Archway Community College (Academy),51231623,R6107,SEN Statements Funding,2684.44,13/07/2017,Communities
230535,Archway Community College (Academy),51256991,R6107,SEN Statements Funding,2013.33,31/07/2017,Communities
200419,Arden Construction Ltd,51237780,R2022,Building (LB),6505,03/07/2017,Resources
200419,Arden Construction Ltd,51250678,C1030,"New Construction, Conversion & Renovation",4069.65,27/07/2017,Capital
200419,Arden Construction Ltd,51253627,R2022,Building (LB),11048.18,28/07/2017,Resources
226768,Arden Leisure Ltd t/a Studley Sports Centre,51232370,R2201,Rents & Lettings,2070,07/07/2017,Communities
221152,Arden Medical Centre (F8112),51254073,R5702,Payments to External Contractors,583.45,31/07/2017,Communities
