Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group,
201481,The Coventry And Solihull Waste Disposal Company Ltd,51578207,R5702,Payments to External Contractors,"131,768.70",26/11/2019,Communities,
201481,The Coventry And Solihull Waste Disposal Company Ltd,51578205,R5702,Payments to External Contractors,"122,463.91",26/11/2019,Communities,
225413,The Dare2Dream Foundation CIC,51578284,R5702,Payments to External Contractors,"1,050.00",21/11/2019,Communities,
225413,The Dare2Dream Foundation CIC,51579039,R5702,Payments to External Contractors,"2,000.00",21/11/2019,Communities,
225413,The Dare2Dream Foundation CIC,51578291,R5702,Payments to External Contractors,"1,800.00",22/11/2019,Communities,
225413,The Dare2Dream Foundation CIC,51578296,R5702,Payments to External Contractors,"1,000.00",22/11/2019,Communities,
225413,The Dare2Dream Foundation CIC,51578301,R5702,Payments to External Contractors,"12,500.00",28/11/2019,Communities,
225413,The Dare2Dream Foundation CIC,51578622,R6107,SEN Statements Funding,"1,750.00",28/11/2019,Communities,
218721,The Dartington Hall Trust / Research in Practice (RIP) / Research in Practice for Adults (RIPFA),51572743,R1601,Training,"1,125.35",08/11/2019,People,
218721,The Dartington Hall Trust / Research in Practice (RIP) / Research in Practice for Adults (RIPFA),51572738,R1601,Training,"1,116.60",13/11/2019,People,
235528,The Early Learning Camp,51576513,R6106,Early Years Funding (PVIs and LA),"19,899.84",15/11/2019,Communities,
235528,The Early Learning Camp,51576887,R6106,Early Years Funding (PVIs and LA),"5,580.95",19/11/2019,Communities,
227128,The Futures Trust - Keresley Newland Primary Academy,51576375,R6106,Early Years Funding (PVIs and LA),"14,423.64",15/11/2019,Communities,
227128,The Futures Trust - Keresley Newland Primary Academy,51580085,R6107,SEN Statements Funding,"1,299.00",22/11/2019,Communities,
237775,The Gas Transportation Company Ltd (GTC),51570080,C1050,External Fees,"6,190.97",21/11/2019,Capital,
213453,The George Eliot School Academy,51580030,R6107,SEN Statements Funding,"4,507.00",22/11/2019,Communities,
206115,The Glebe Hotel,51571687,R5702,Payments to External Contractors,947.32,22/11/2019,Communities,
206115,The Glebe Hotel,51572718,R2201,Rents & Lettings,648.83,29/11/2019,Communities,
,The Grosvenor Hotel Rugby,12969,,,875.00,04/11/2019,People,
206119,The Guide Dogs For The Blind Association,51573077,R4301,"Advertising, Publicity & Promotion","10,000.00",04/11/2019,Communities,
233599,The Holy Family Catholic Multi Academy Company,51576784,R1408,Other Staffing Costs,"2,040.00",14/11/2019,Schools,
233599,The Holy Family Catholic Multi Academy Company,51580020,R6107,SEN Statements Funding,594.00,22/11/2019,Communities,
233599,The Holy Family Catholic Multi Academy Company,51580061,R6107,SEN Statements Funding,"7,366.00",22/11/2019,Communities,
227986,The Holy SPIRIT Catholic Multi Academy  T/A St Francis Catholic Primary School,51568211,R4441,Professional Fees,500.00,11/11/2019,Communities,
227986,The Holy SPIRIT Catholic Multi Academy  T/A St Francis Catholic Primary School,51576781,R1408,Other Staffing Costs,"2,117.88",14/11/2019,Schools,
227986,The Holy SPIRIT Catholic Multi Academy  T/A St Francis Catholic Primary School,51580077,R6107,SEN Statements Funding,"1,439.00",22/11/2019,Communities,
227988,The Holy SPIRIT Catholic Multi Academy t/a St Benedict's Catholic Primary,51576777,R1408,Other Staffing Costs,"1,020.00",14/11/2019,Schools,
227988,The Holy SPIRIT Catholic Multi Academy t/a St Benedict's Catholic Primary,51580070,R6107,SEN Statements Funding,"1,187.00",22/11/2019,Communities,
227985,"The Holy SPIRIT Catholic Multi Academy, St Annes Catholic Primary School",51576496,R6106,Early Years Funding (PVIs and LA),"17,468.64",15/11/2019,Communities,
210403,The Island Project School,51568475,R6107,SEN Statements Funding,"15,668.00",15/11/2019,Communities,
210403,The Island Project School,51568480,R6107,SEN Statements Funding,"18,133.37",28/11/2019,Communities,
221432,The Key Support Services Ltd (previously Ten Education Ltd),51571186,R4441,Professional Fees,595.00,22/11/2019,Schools,
206135,The Kindergarten - Salford Priors,51576382,R6106,Early Years Funding (PVIs and LA),"8,158.84",15/11/2019,Communities,
206136,The Kingswood Learning & Leisure - Group  Ltd,51567322,R4915,Schools Specific - Other Expenditure,"1,360.00",06/11/2019,Schools,
206136,The Kingswood Learning & Leisure - Group  Ltd,51569222,R4915,Schools Specific - Other Expenditure,960.00,13/11/2019,Schools,
206138,The Law Society (General Payments),51577456,R1401,Professional Subscriptions,549.00,15/11/2019,Resources,
206138,The Law Society (General Payments),51577475,R1401,Professional Subscriptions,"13,966.00",15/11/2019,Resources,
206143,The Lighthouse Day Care Nursery,51576465,R6106,Early Years Funding (PVIs and LA),"16,032.98",15/11/2019,Communities,
206145,The Links Daycare Centre Ltd,51576497,R6106,Early Years Funding (PVIs and LA),"8,787.65",15/11/2019,Communities,
206145,The Links Daycare Centre Ltd,51576916,R6106,Early Years Funding (PVIs and LA),"2,555.07",19/11/2019,Communities,
228971,The Mallina Group,51573827,R5802,Substitute Care,820.00,13/11/2019,People,
206155,The Mary Hare Grammar School,51565045,R6107,SEN Statements Funding,"10,035.00",06/11/2019,Communities,
206155,The Mary Hare Grammar School,51570036,R1601,Training,"3,900.00",21/11/2019,Communities,
206155,The Mary Hare Grammar School,51573196,R6107,SEN Statements Funding,"12,135.00",29/11/2019,Communities,
206155,The Mary Hare Grammar School,51573195,R6107,SEN Statements Funding,"10,633.00",29/11/2019,Communities,
206155,The Mary Hare Grammar School,51573194,R6107,SEN Statements Funding,"13,567.00",29/11/2019,Communities,
206155,The Mary Hare Grammar School,51573193,R6107,SEN Statements Funding,"14,425.00",29/11/2019,Communities,
206155,The Mary Hare Grammar School,51573186,R6107,SEN Statements Funding,"13,368.00",29/11/2019,Communities,
206155,The Mary Hare Grammar School,51573187,R6107,SEN Statements Funding,"14,878.00",29/11/2019,Communities,
218075,The Nethersole CE Primary (Birmingham Diocese Multi Academy Trust),51574837,R6106,Early Years Funding (PVIs and LA),700.00,08/11/2019,Communities,
218075,The Nethersole CE Primary (Birmingham Diocese Multi Academy Trust),51574838,R6106,Early Years Funding (PVIs and LA),700.00,08/11/2019,Communities,
218075,The Nethersole CE Primary (Birmingham Diocese Multi Academy Trust),51576498,R6106,Early Years Funding (PVIs and LA),"5,479.52",15/11/2019,Communities,
218075,The Nethersole CE Primary (Birmingham Diocese Multi Academy Trust),51580025,R6107,SEN Statements Funding,"1,907.00",22/11/2019,Communities,
206164,The Nuneaton Academy,51580032,R6107,SEN Statements Funding,"4,419.00",22/11/2019,Communities,
237498,The Old Library Day Nursery,51576479,R6106,Early Years Funding (PVIs and LA),"7,041.61",15/11/2019,Communities,
237498,The Old Library Day Nursery,51576979,R6106,Early Years Funding (PVIs and LA),"2,036.65",19/11/2019,Communities,
237164,The Old Station Nursery Ltd,51576428,R6106,Early Years Funding (PVIs and LA),"27,345.11",15/11/2019,Communities,
213141,The Open University,51566225,R1601,Training,"3,012.00",08/11/2019,People,
225509,The Penderels Trust Ltd,51564029,R5807,Social Care Block Contracts,"15,465.64",01/11/2019,People,
225509,The Penderels Trust Ltd,51564032,R5702,Payments to External Contractors,"4,575.36",01/11/2019,People,
225509,The Penderels Trust Ltd,51564019,R5807,Social Care Block Contracts,"4,404.01",01/11/2019,People,
225509,The Penderels Trust Ltd,51564013,R5702,Payments to External Contractors,"1,945.99",01/11/2019,People,
204890,The Polesworth School - Community Academies Trust,51575310,R1102,Staffing / Secondment recharges,"1,800.00",18/11/2019,Communities,
204890,The Polesworth School - Community Academies Trust,51579923,R5501,Grants / Donations to External Organisations,"2,673.00",21/11/2019,Communities,
204890,The Polesworth School - Community Academies Trust,51580054,R6107,SEN Statements Funding,"2,177.00",22/11/2019,Communities,
201532,The Princethorpe Foundation - Crescent School,51576365,R6106,Early Years Funding (PVIs and LA),"3,188.22",15/11/2019,Communities,
