unique_property_reference_number,unique_asset_id,name_of_building_land_or_both,street_number_or_numbers,street_name,postal_town,uk_postcode,easting,northing,tenure,tenure_characteristics,land_only,size_of_asset,size_units,effective_service_delivery_government_services_function,reason_for_holding_asset,localism_act,total_building_operation_costs,required_maintenance_costs,suitability_rating,energy_performance_dec_rating
"100071399153","1007","Nicholas Chamberlaine School (Academy)","","Bulkington Road","Bedworth","CV12 9EA",436810,286930,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",16693.69,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",1300914.12,"Not Currently Available","D"
"100071497560","1009","St Michael's C.E. Primary School (Academy)","","Hazel Grove","Bedworth","CV12 9DA",436770,287270,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",2240.58,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",268514.15,"Not Currently Available","C"
"10007777465","1010","St Michael's Nursery & Child. Centre (Bedworth CC)","","Hazel Grove","Bedworth","CV12 9DA",436670,287230,"Leasehold","Occupied by the Local Authority","Land with a permanent building",1204.00,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",85982.30,"Not Currently Available","D"
"100071497269","1012","St Francis Catholic Primary School (Academy)","","Rye Piece Ringway","Bedworth","CV12 8JN",436100,287330,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",1668.34,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",310479.60,"Not Currently Available","D"
"100071497190","1013","Bedworth Youth Centre","","Croxhall Street","Bedworth","CV12 8JB",436040,287020,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",400.74,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",75525.47,"Not Currently Available","n/a"
"100071519618","1014","Exhall Grange School & Science College","","Easter Way","Off Winding House Lane, Bedworth","CV7 9HP",433445,284175,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",7789.44,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",1473210.14,"Not Currently Available","F"
"100071399065","1015","Exhall Cedars Infant School","","Trenance Road","Exhall, Coventry","CV7 9FJ",435550,285860,"Freehold","Occupied by the Local Authority","Land with a permanent building",1428.41,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",638486.10,"Not Currently Available","C"
"100071399028","1017","Ash Green School & Arts College (Academy)","","Ash Green Lane","Ash Green, Coventry","CV7 9AH",433520,284970,"Other","Vested in Trustees","Land with a permanent building",7725.12,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",745538.61,"Not Currently Available","B, E"
"100071496964","1018","Race Leys Infant School","","Hurst Road","Bedworth","CV12 8AD",435740,287430,"Freehold","Occupied by the Local Authority","Land with a permanent building",1545.60,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",278179.82,"Not Currently Available","D"
"100071399129","1019","Race Leys Junior (Academy) School","","Barton Road","Bedworth","CV12 8HG",435610,287570,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",1534.43,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",132945.91,"Not Currently Available","D"
"100071399224","1021","Bedworth Heath Nursery & Children's Centre (Maint)","","Glebe Avenue","Bedworth","CV12 0DP",434270,286280,"Freehold","Occupied by the Local Authority","Land with a permanent building",370.92,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",51284.67,"Not Currently Available","n/a"
"100071497347","1022","The Canons CofE (Voluntary Aided) Primary School","","Derwent Road","Bedworth","CV12 8RT",435450,286760,"Freehold","Occupied by the Local Authority","Land with a permanent building",1361.26,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",213699.78,"Not Currently Available","C"
"100071399186","1023","The Canons CofE (Voluntary Aided) Primary School","","Derwent Road","Bedworth","CV12 8RT",435500,286770,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",2116.38,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",472744.62,"Not Currently Available","D"
"100071497402","1028","All Saints C. of E. Primary School & Nursery","","Bulkington Road","Bedworth","CV12 9DG",436350,286830,"Other","Vested in Trustees","Land with a permanent building",956.20,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",338525.78,"Not Currently Available","E"
"200001875000","1029","St Giles Junior School","","Hayes Lane","Exhall, Coventry","CV7 9NS",434850,285750,"Freehold","Occupied by the Local Authority","Land with a permanent building",1692.63,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",506593.45,"Not Currently Available","E"
"10000227516","1033","Bedworth Library & Information Centre","18","High Street","Bedworth","CV12 8NF",435990,286840,"Freehold","Occupied by the Local Authority","Land with a permanent building",741.31,"Sq.m","Leisure and culture","To Follow","n/a","Not Currently Available",55095.47,"Not Currently Available","D"
"100071496939","1034","Former Bedworth Heath Library","","Heath Road","Bedworth","CV12 0BN",434500,286030,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",132.87,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",39020.57,"Not Currently Available","n/a"
"100071496983","1037","Warwickshire Fire & Rescue Training & Dev. Centre","46","Leicester Road","Bedworth","CV12 8AG",435810,287440,"Freehold","Occupied by the Local Authority","Land with a permanent building",640.22,"Sq.m","Community safety","To Follow","n/a","Not Currently Available",121920.21,"Not Currently Available","E"
"n/a","1038","Access Road fronting 1- 3 Hurst Road","","Hurst Road","Bedworth","n/a",435805,287401,"Freehold","Occupied by the Local Authority","Land only",0.01,"Hectares","Government, citizens and rights","To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a"
"100071497149","1050","Bedworth Fire Station","","Park Road","Bedworth","CV12 8LB",435720,286900,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",520.92,"Sq.m","Community safety","To Follow","n/a","Not Currently Available",95171.91,"Not Currently Available","C"
"100071497471","1061","All Saints CE Primary School  & Nursery (Annexe)","","Coalpit Fields Road","Bedworth","CV12 9HN",436308,286643,"Freehold","Occupied by the Local Authority","Land with a permanent building",1028.06,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",73620.91,"Not Currently Available","D"
"100071360335","1066","Bedworth Heath Community Centre","179-181","Smorrall Lane","Bedworth","CV12 0JP",433868,286403,"Leasehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",192.60,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a"
"10007773666","1074","Bulkington Village Centre","","School Road","Bulkington, Bedworth","CV12 9JB",439260,286760,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",1518.10,"Sq.m","Licences, permits and permissions","To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a"
"100071497451","1075","St James CE Junior School (Academy)","","Barbridge Road","Bulkington, Bedworth","CV12 9PF",439260,286880,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",2045.97,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",530815.37,"Not Currently Available","D"
"100071497554","1076","Arden Forest Infant School","","Weston Lane","Bulkington, Bedworth","CV12 9RT",438570,287130,"Freehold","Occupied by the Local Authority","Land with a permanent building",1280.84,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",292492.46,"Not Currently Available","D"
"100071497564","1077","Bulkington Community Library","","School Road","Bulkington, Bedworth","CV12 9JB",439230,286690,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",266.16,"Sq.m","Leisure and culture","To Follow","n/a","Not Currently Available",10165.00,"Not Currently Available","n/a"
"100071519524","1080","The Keresley Teaching & Learning Centre","","Bennetts Road North","Keresley End, Keresley","CV7 8LA",431600,285100,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",1196.76,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",282108.54,"Not Currently Available","n/a"
"100071399227","1081","Keresley Newland Primary School (Academy)","","Grove Lane","Keresley End, Coventry","CV7 8JZ",431640,285200,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",1918.88,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",465325.29,"Not Currently Available","D"
"10000225086","1083","Keresley Newland Community Library & Information C","","Bennetts Road","Coventry","CV7 8HX",431700,284730,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",132.87,"Sq.m","Leisure and culture","To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a"
"100071235024","1088","Top Farm","","Higham Lane","Nuneaton","CV11 6BD",437116,294051,"Freehold","Part or Wholly let out on a Leasehold or Licence","Land with a permanent building",7101.00,"Sq.m","Environmental protection","To Follow","n/a","Not Currently Available",2894.19,"Not Currently Available","n/a"
"10007780067","1092","Land at Former Holly Tree Farm","","Eastboro Way","Nuneaton","CV11 6UZ",437800,291000,"Freehold","Part or Wholly let out on a Leasehold or Licence","Land only",0.00,"Hectares","Environmental protection","To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a"
"10007776506","1093","Attleborough Fields Allotments","","Kelsey Close","Nuneaton","CV11 6RY",437238,291410,"Freehold","Part or Wholly let out on a Leasehold or Licence","Land only",1.02,"Hectares","Environmental protection","To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a"
"10000230854","1095","Hammond Business Centre","","Hammond Close","Nuneaton","CV11 6RY",437390,291290,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",1521.29,"Sq.m","Transport and highways","To Follow","n/a","Not Currently Available",78389.05,"Not Currently Available","n/a"
"10000230818","1097","Centenary Business Centre","","Hammond Close","Nuneaton","CV11 6RY",437390,291340,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",3291.75,"Sq.m","Transport and highways","To Follow","n/a","Not Currently Available",150299.24,"Not Currently Available","n/a"
"100071495526","1098","Galley Farm","","The Rookery","Nuneaton","CV10 9PB",431364,292173,"Freehold","Part or Wholly let out on a Leasehold or Licence","Land with a permanent building",2826.16,"Sq.m","Environmental protection","To Follow","n/a","Not Currently Available",68725.63,"Not Currently Available","n/a"
"100071495357","1107","Croft Junior School","","Northumberland Avenue","Nuneaton","CV10 8ER",434500,291300,"Freehold","Occupied by the Local Authority","Land with a permanent building",1918.79,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",275875.04,"Not Currently Available","D"
"100071399438","1108","St Paul's CE Primary School","","Wiclif Way","Nuneaton","CV10 8NH",433260,291300,"Freehold","Occupied by the Local Authority","Land with a permanent building",2413.59,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",351620.76,"Not Currently Available","D"
"100071399351","1110","The George Eliot School (Academy)","","Raveloe Drive","Nuneaton","CV11 4QP",436850,290200,"Other","Vested in Trustees","Land with a permanent building",7475.47,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",1746767.80,"Not Currently Available","B, D, E"
"200002867688","1111","Wembrook Community Youth Centre","","Donnithorne Avenue","Nuneaton","CV11 4QL",436900,290210,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",298.51,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a"
"100071494941","1112","Higham Lane School (Academy)","","Higham Lane","Nuneaton","CV10 0BJ",437040,292930,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",10478.84,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",1540076.09,"Not Currently Available","D"
"10007777766","1114","Camp Hill Early Years Centre","","Hollystitches Road","Nuneaton","CV10 9QA",434300,292820,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",1750.32,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",145949.68,"Not Currently Available","E"
"10000227032","1115","Camp Hill Primary School","","Hollystitches Road","Nuneaton","CV10 9QA",434210,292860,"Freehold","Occupied by the Local Authority","Land with a permanent building",2447.07,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",308195.10,"Not Currently Available","F"
"100071399168","1116","St Anne's Catholic Primary School (Academy)","","Camp Hill Drive","Nuneaton","CV10 0JX",433890,293120,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",1134.59,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",215178.68,"Not Currently Available","E"
"100071495255","1119","Middlemarch School (Foundation)","","College Street","Nuneaton","CV10 7BQ",435930,290500,"Other","Vested in Trustees","Land with a permanent building",1709.07,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",590396.71,"Not Currently Available","E"
"100071399228","1120","Stockingford Primary School (former Infant)","","Cross Street","Nuneaton","CV10 8JH",433630,291310,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",1982.34,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",392256.07,"Not Currently Available","B, D"
"100071495348","1121","Stockingford Primary School (former Junior)","","Grove Road","Nuneaton","CV10 8JY",433630,291240,"Freehold","Occupied by the Local Authority","Land with a permanent building",3216.19,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",644548.83,"Not Currently Available","D, E"
"100071399393","1122","Stockingford Early Years Centre & Library (Maintd)","","St Pauls Road","Nuneaton","CV10 8HW",433760,291350,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",910.34,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",45167.38,"Not Currently Available","C"
"100071399439","1124","St Nicolas CE Primary School  (Academy)","","Windermere Avenue","Nuneaton","CV11 6HJ",437677,292926,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",2435.97,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",298189.71,"Not Currently Available","D"
"100071495850","1125","Whitestone Infant School","","Magyar Crescent","Nuneaton","CV11 4SQ",438120,289640,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",2047.48,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",306912.17,"Not Currently Available","C"
"10007775873","1126","Whitestone Community Centre","","Magyar Crescent","Nuneaton","CV11 4SG",438060,289640,"Freehold","Occupied by the Local Authority","Land with a permanent building",227.02,"Sq.m","Health and social care","To Follow","n/a","Not Currently Available",11597.77,"Not Currently Available","n/a"
"100071496014","1127","Former Manor Park Community School","Withheld","Withheld","Withheld","CV11",0,0,"Freehold","Vacant","Land with a permanent building",7645.89,"Sq.m","Government, citizens and rights","To Follow","n/a","Not Currently Available",1545670.64,"Not Currently Available","n/a"
"100071495782","1128","Nuneaton Training Centre","","Newtown Road","Nuneaton","CV11 4HR",436050,292160,"Freehold","Occupied by the Local Authority","Land with a permanent building",227.15,"Sq.m","Community safety","To Follow","n/a","Not Currently Available",16572.79,"Not Currently Available","n/a"
"100071399126","1131","Wembrook Primary School","","Avenue Road","Nuneaton","CV11 4LU",436470,290830,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",3642.56,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",489197.14,"Not Currently Available","C"
"100071496291","1133","Our Lady Of The Angels Catholic Infant School","","Coton Road","Nuneaton","CV11 5TY",436330,291260,"Other","Vested in Trustees","Land with a permanent building",1424.32,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",181016.31,"Not Currently Available","n/a"
"10007771524","1134","St Joseph's Catholic Junior School","","Coton Road","Nuneaton","CV11 5TY",436380,291200,"Other","Vested in Trustees","Land with a permanent building",1628.27,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",320880.43,"Not Currently Available","D"
"100071495209","1137","Nuneaton Academy","","Arbury Road","Stockingford, Nuneaton","CV10 7PD",433880,290860,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",11628.99,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",1692320.54,"Not Currently Available","B, E"
"100071399226","1140","St Thomas More Catholic School & 6th Form College","","Greenmoor Road","Nuneaton","CV10 7EX",435330,291140,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",9333.45,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",1443153.52,"Not Currently Available","C, D"
"100071399092","1141","Abbey CE Infant School","","Aston Road","Nuneaton","CV11 5EL",435670,292420,"Freehold","Occupied by the Local Authority","Land with a permanent building",1456.65,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",92542.32,"Not Currently Available","E"
"100071399269","1142","All Saints CE Primary School","","Knebley Crescent","Nuneaton","CV10 7AT",436310,290240,"Other","Vested in Trustees","Land with a permanent building",1240.26,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",231841.18,"Not Currently Available","D"
"100071496286","1143","Queen's Church of England Academy","","Bentley Road","Nuneaton","CV11 5LR",435260,291740,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",2662.42,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",603277.58,"Not Currently Available","D"
"100071399320","1144","Galley Common Infant School","","Plough Hill Road","Nuneaton","CV10 9NZ",431780,292290,"Both Freehold & Leasehold","Occupied by the Local Authority","Land with a permanent building",802.39,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",38256.10,"Not Currently Available","E"
"100071495368","1145","Park Lane Primary School (Academy)","","Park Lane","Nuneaton","CV10 8LU",431990,291180,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",2506.04,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",169509.60,"Not Currently Available","C"
"100071399171","1146","Chetwynd Junior School","","Caroline Close","Nuneaton","CV11 4SE",438010,289310,"Freehold","Occupied by the Local Authority","Land with a permanent building",2471.47,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",405777.83,"Not Currently Available","C"
"100071495200","1152","Glendale Infant School","","Skye Close","Nuneaton","CV10 7LW",434780,290760,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",1597.58,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",367796.41,"Not Currently Available","C"
"100071496336","1153","Chilvers Coton Community Infant School","","Frank Street","Nuneaton","CV11 5RB",435860,291190,"Freehold","Occupied by the Local Authority","Land with a permanent building",1623.07,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",206127.94,"Not Currently Available","D"
"100071495211","1155","Land at The Former Griff School","Withheld","Withheld","Withheld","CV10",0,0,"Freehold","Vacant","Land only",2.03,"Hectares","Government, citizens and rights","To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a"
"100071496232","1157","Hatters Space Community Centre","","Upper Abbey Street","Nuneaton","CV11 5DN",435750,292160,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",938.06,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",36951.75,"Not Currently Available","E"
"100071399271","1158","Etone Technology Language Voc. College Academy","","Leicester Road","Nuneaton","CV11 6AA",436880,292130,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",10887.97,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",1501500.58,"Not Currently Available","B, D, F"
"100071495631","1161","Nuneaton Library & Information Centre","","Church Street","Nuneaton","CV11 4DR",436480,291720,"Freehold","Occupied by the Local Authority","Land with a permanent building",1467.59,"Sq.m","Leisure and culture","To Follow","n/a","Not Currently Available",597909.56,"Not Currently Available","B"
"100071577348","1165","Nuneaton Gypsy Caravan Site","","Coventry Road","Nuneaton","CV10 7AX",436090,289300,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",987.46,"Sq.m","Housing","To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a"
"100071495629","1173","Land at Former Nuneaton Magistrates Courts","","Vicarage Street","Nuneaton","CV11 4DW",436510,291760,"Freehold","Occupied by the Local Authority","Land only",0.22,"Hectares","Government, citizens and rights","To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a"
"100071399307","1184","Nuneaton Fire Station","","Newtown Road","Nuneaton","CV11 4HR",436070,292080,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",1788.30,"Sq.m","Community safety","To Follow","n/a","Not Currently Available",141638.86,"Not Currently Available","D"
"10007779137","1188","The Hilary Road Centre","","Hilary Road","Nuneaton","CV10 9AD",434500,292150,"Freehold","Occupied by the Local Authority","Land with a permanent building",1081.92,"Sq.m","Government, citizens and rights","To Follow","n/a","Not Currently Available",128811.03,"Not Currently Available","C"
"10000230633","1198","Ramsden Complex Needs Centre","","School Walk","Nuneaton","CV11 4PJ",437170,290920,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",622.72,"Sq.m","Health and social care","To Follow","n/a","Not Currently Available",66353.85,"Not Currently Available","F"
"10000230816","1199","Nuneaton Signs","5a","Kelsey Close","Nuneaton","CV11 6RS",437345,291174,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",2187.55,"Sq.m","Transport and highways","To Follow","n/a","Not Currently Available",77973.31,"Not Currently Available","n/a"
"10000229478","1228","Nuneaton Register Office Riversley Park","","Coton Road","Nuneaton","CV11 5HA",436330,291530,"Leasehold","Occupied by the Local Authority","Land with a permanent building",196.80,"Sq.m","Government, citizens and rights","To Follow","n/a","Not Currently Available",7474.25,"Not Currently Available","n/a"
"10001172008","2001","Nursery Hill Primary School","","Ansley Common","Nuneaton","CV10 0PY",431200,293620,"Freehold","Occupied by the Local Authority","Land with a permanent building",1136.73,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",62593.40,"Not Currently Available","E"
"n/a","2004","Oldbury Cutting Chipping Store","","Oldbury Road","Mancetter","n/a",430550,294110,"Freehold","Occupied by the Local Authority","Land only",0.93,"Hectares","Transport and highways","To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a"
"10001172015","2005","Arley Primary School","","Gun Hill","Arley","CV7 8HB",429450,289720,"Freehold","Occupied by the Local Authority","Land with a permanent building",1913.65,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",387054.45,"Not Currently Available","D, E"
"100071519540","2006","ARC School (Former Herbert Fowler Junior School)","","Ansley Lane","Arley","CV7 8NU",428600,290700,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",1463.40,"Sq.m","Licences, permits and permissions","To Follow","n/a","Not Currently Available",272013.63,"Not Currently Available","E"
"100071521937","2010","Queen Elizabeth School & Sports College (Academy)","","Long Street","Atherstone","CV9 1AE",431300,297630,"Other","Vested in Trustees","Land with a permanent building",4062.43,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",647306.20,"Not Currently Available","C"
"100071398797","2011","Queen Elizabeth School & Sports College (Academy)","","Witherley Road","Atherstone","CV9 1LZ",431740,297490,"Other","Vested in Trustees","Land with a permanent building",5999.58,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",1470026.28,"Not Currently Available","E"
"100071398782","2012","Outwoods Primary School (Former Oakfield Junior)","","Southlands","Atherstone","CV9 1EH",431110,297300,"Freehold","Occupied by the Local Authority","Land with a permanent building",1722.68,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",614921.10,"Not Currently Available","D"
"100071398780","2013","Outwoods Primary School (Former Arden Hill Infant)","","South Street","Atherstone","CV9 1DZ",431040,297390,"Freehold","Occupied by the Local Authority","Land with a permanent building",1258.85,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",447311.59,"Not Currently Available","D"
"100071398771","2014","Racemeadow Primary School (Academy)","","Ratcliffe Road","Atherstone","CV9 1LT",431420,298100,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",2852.46,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",700242.02,"Not Currently Available","C"
"100071521938","2016","Atherstone Nursery School","","Kings Avenue","Atherstone","CV9 1JZ",431120,297970,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",1289.18,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",97973.99,"Not Currently Available","F"
"100071522058","2017","The Ratcliffe Youth & Community Centre","","Ratcliffe Road","Atherstone","CV9 1LF",431010,297890,"Both Freehold & Leasehold","Occupied by the Local Authority","Land with a permanent building",232.05,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",65899.09,"Not Currently Available","n/a"
"100071521707","2018","N.W.H.C. Atherstone Campus","","Ratcliffe Road","Atherstone","CV9 1LF",431050,297910,"Leasehold","Occupied by the Local Authority","Land with a permanent building",85.86,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a"
"100071521936","2021","St Benedict's Catholic Primary School (Academy)","","Church Walk","Atherstone","CV9 1PS",431720,297180,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",918.72,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",430330.50,"Not Currently Available","D"
"100071522080","2027","Atherstone Library & Information Centre","","Long Street","Atherstone","CV9 1AX",430625,297930,"Freehold","Occupied by the Local Authority","Land with a permanent building",590.45,"Sq.m","Leisure and culture","To Follow","n/a","Not Currently Available",45516.08,"Not Currently Available","C"
"100071522031","2036","Atherstone Fire Station","","Ratcliffe Road","Atherstone","CV9 1JZ",431190,298000,"Freehold","Occupied by the Local Authority","Land with a permanent building",471.47,"Sq.m","Community safety","To Follow","n/a","Not Currently Available",125806.99,"Not Currently Available","n/a"
"100071521924","2045","The Partnership Building","","Coleshill Road","Atherstone","CV9 1BN",430790,297690,"Freehold","Occupied by the Local Authority","Land with a permanent building",561.05,"Sq.m","Health and social care","To Follow","n/a","Not Currently Available",150816.74,"Not Currently Available","n/a"
"100071522095","2048","The Atherstone Centre","Withheld","Withheld","Withheld","CV9",0,0,"Freehold","Vacant","Land with a permanent building",488.07,"Sq.m","Government, citizens and rights","To Follow","n/a","Not Currently Available",71295.93,"Not Currently Available","n/a"
"100071522471","2050","Austrey CE Primary School (Academy)","","St Nicholas Close","Austrey","CV9 3EQ",429520,306670,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",810.65,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",232522.50,"Not Currently Available","D"
"n/a","2052","Land At Boot Hill","","Boot Hill","Grendon, Baddesley Ensor","n/a",427260,299270,"Freehold","Part or Wholly let out on a Leasehold or Licence","Land only",3.15,"Hectares","Environmental protection","To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a"
"100071398759","2053","Woodside C.E. Primary School (Academy)","","Maypole Lane","Grendon","CV9 2BS",427538,298375,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",1815.85,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",75790.01,"Not Currently Available","C"
"100071398728","2055","Grendon Community & Youth Centre","","Boot Hill","Grendon","CV9 2EL",427370,299250,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",227.67,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",24721.25,"Not Currently Available","n/a"
"100071522365","2056","Former Baddesley Library & Information Centre","","Little Brum","Grendon","CV9 2ET",427220,298830,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",132.68,"Sq.m","Licences, permits and permissions","To Follow","n/a","Not Currently Available",18485.48,"Not Currently Available","n/a"
"100071467051","2059","The Coleshill School (Academy)","","Coventry Road","Coleshill","B46 3EX",420180,287550,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",8728.05,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",2096558.74,"Not Currently Available","E, F"
"100071398845","2060","St Edwards Catholic Primary School","","Packington Lane","Coleshill","B46 3JE",420320,287450,"Freehold","Occupied by the Local Authority","Land with a permanent building",2180.67,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",162570.52,"Not Currently Available","D"
"100071467199","2061","Woodlands School (Formerly Blythe)","","Packington Lane","Coleshill","B46 3JE",420170,287670,"Freehold","Occupied by the Local Authority","Land with a permanent building",3621.38,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",5330.00,"Not Currently Available","E"
