unique_property_reference_number,unique_asset_id,name_of_building_land_or_both,street_number_or_numbers,street_name,postal_town,uk_postcode,easting,northing,tenure,tenure_characteristics,land_only,size_of_asset,size_units,effective_service_delivery_government_services_function,reason_for_holding_asset,localism_act,total_building_operation_costs,required_maintenance_costs,suitability_rating,energy_performance_dec_rating
"10023589890","4043","Wessons Farm","","Grafton Lane","Bidford-On-Avon","B50 4DU",410603,252753,"Freehold","Part or Wholly let out on a Leasehold or Licence","Land with a permanent building",2126.35,"Sq.m","Environmental protection","To Follow","n/a","Not Currently Available",35435.54,"Not Currently Available","n/a"
"100071240753","4045","Famington Farm","","Georges Elm Lane","Bidford-On-Avon","B50 4JY",410675,253662,"Freehold","Part or Wholly let out on a Leasehold or Licence","Land with a permanent building",1177.21,"Sq.m","Environmental protection","To Follow","n/a","Not Currently Available",4228.40,"Not Currently Available","n/a"
"100071240759","4046","Sandhills Farm","","Georges Elm Lane","Bidford-On-Avon","B50 4JR",410025,253155,"Freehold","Part or Wholly let out on a Leasehold or Licence","Land with a permanent building",292.95,"Sq.m","Environmental protection","To Follow","n/a","Not Currently Available",679.44,"Not Currently Available","n/a"
"n/a","4047","Broom Farm (Holding S4/3)","","Bidford Road","Broom, Bidford On Avon","n/a",409294,253002,"Freehold","Part or Wholly let out on a Leasehold or Licence","Land with a permanent building",4681.57,"Sq.m","Environmental protection","To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a"
"n/a","4048","Broom Farm (Holding S4/7)","","George's Elm Lane","Broom, Bidford On Avon","n/a",410049,253172,"Freehold","Part or Wholly let out on a Leasehold or Licence","Land with a permanent building",550.54,"Sq.m","Environmental protection","To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a"
"n/a","4049","Broom Farm (Holding S4/9)","","Broom Allotments","Bidford On Avon","n/a",409520,253391,"Freehold","Part or Wholly let out on a Leasehold or Licence","Land only",2.33,"Hectares","Environmental protection","To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a"
"n/a","4050","Broom Farm (Holding S4/10)","","Victoria Road","Broom, Bidford On Avon","n/a",409312,252783,"Freehold","Part or Wholly let out on a Leasehold or Licence","Land only",9.46,"Hectares","Environmental protection","To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a"
"10023387178","4055","Bidford On Avon Fire Station","","Bramley Way","Bidford-On-Avon","B50 4QG",409880,251970,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",347.96,"Sq.m","Community safety","To Follow","n/a","Not Currently Available",34515.48,"Not Currently Available","n/a"
"200001852689","4057","Brailes C.E. Primary School","","Main Street","Lower Brailes, Brailes","OX15 5AP",430930,239370,"Freehold","Occupied by the Local Authority","Land with a permanent building",756.39,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",119638.96,"Not Currently Available","D"
"200001819465","4060","Camperdown Farm","","Little Wolford Road","Cherington","CV36 5HS",428705,236310,"Freehold","Part or Wholly let out on a Leasehold or Licence","Land with a permanent building",4297.43,"Sq.m","Environmental protection","To Follow","n/a","Not Currently Available",58276.04,"Not Currently Available","n/a"
"10023581858","4061","Thurlyans (Dickins Dairy)","","Little Wolford Road","Cherington","CV36 5HS",428943,236385,"Freehold","Part or Wholly let out on a Leasehold or Licence","Land with a permanent building",188.92,"Sq.m","Environmental protection","To Follow","n/a","Not Currently Available",1033.64,"Not Currently Available","n/a"
"10023388346","4064","Claverdon Primary School","","Langley Road","Claverdon","CV35 8QA",419340,264660,"Freehold","Occupied by the Local Authority","Land with a permanent building",1012.42,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",261522.25,"Not Currently Available","D"
"100071467397","4067","Coughton C.E. Primary School","","Coughton Lane","Coughton","B49 5HN",407940,260250,"Freehold","Occupied by the Local Authority","Land with a permanent building",803.46,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",38457.69,"Not Currently Available","D"
"100071399941","4069","Ettington C.E. Primary School","","Churchill Close","Ettington","CV37 7SP",426990,248970,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",913.58,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",184406.37,"Not Currently Available","F"
"100071399942","4073","The Dassett C.E. Primary School","","Memorial Road","Fenny Compton","CV47 2XU",441760,252270,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",1074.42,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",172093.36,"Not Currently Available","n/a"
"100071399946","4074","Fenny Compton Fire Station","","Memorial Road","Fenny Compton","CV47 2XU",441650,252340,"Freehold","Occupied by the Local Authority","Land with a permanent building",141.17,"Sq.m","Community safety","To Follow","n/a","Not Currently Available",12784.17,"Not Currently Available","n/a"
"100071509620","4077","Lighthorne Heath Primary School","","Stratford Road","Lighthorne Heath","CV33 9TW",434920,255960,"Freehold","Occupied by the Local Authority","Land with a permanent building",1206.70,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",153201.73,"Not Currently Available","E"
"100071467610","4079","Great Alne Primary School","","School Road","Great Alne","B49 6HQ",411150,259130,"Freehold","Occupied by the Local Authority","Land with a permanent building",720.63,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",114389.13,"Not Currently Available","E"
"200001851375","4080","Pineham Farm","","Bush Heath Road","Harbury","CV33 9NW",437360,259298,"Freehold","Part or Wholly let out on a Leasehold or Licence","Land with a permanent building",1206.80,"Sq.m","Environmental protection","To Follow","n/a","Not Currently Available",65489.93,"Not Currently Available","n/a"
"10024634641","4081","Harbury Parish Council Allotments","","South Parade","Harbury","CV33 9JF",437406,259579,"Freehold","Part or Wholly let out on a Leasehold or Licence","Land only",1.26,"Hectares","Environmental protection","To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a"
"100071242135","4082","Whitegates Farm","","Chesterton Road","Harbury","CV33 9NH",436182,259586,"Freehold","Part or Wholly let out on a Leasehold or Licence","Land with a permanent building",1496.63,"Sq.m","Environmental protection","To Follow","n/a","Not Currently Available",38731.52,"Not Currently Available","n/a"
"100071399952","4083","Harbury CE Primary School","","Mill Street","Harbury","CV33 9HR",437090,259910,"Freehold","Occupied by the Local Authority","Land with a permanent building",1415.42,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",226149.89,"Not Currently Available","D"
"10023583406","4086","Tudor Grange Academy","","Pelham Lane","Haselor","B49 6LU",412010,257840,"Other","Vested in Trustees","Land with a permanent building",733.28,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",95926.86,"Not Currently Available","C"
"10023388350","4089","Henley-In-Arden High School (Academy)","","Stratford Road","Henley-In-Arden","B95 6AF",415160,265400,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",5577.94,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",984370.26,"Not Currently Available","E"
"10023589321","4090","River House School","","Stratford Road","Henley-In-Arden","B95 6AD",415150,265310,"Freehold","Occupied by the Local Authority","Land with a permanent building",1122.82,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",58959.87,"Not Currently Available","E"
"10023384529","4091","Henley in Arden Community Youth Centre","","Warwick Road","Henley-In-Arden","B95 6AF",415210,265480,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",154.17,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a"
"100071399868","4092","Henley-in-Arden CofE (VA) Primary School-Academy","","Arden Road","Henley-In-Arden","B95 5FT",415520,265950,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",1244.93,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",291650.45,"Not Currently Available","D"
"100071399872","4093","St Mary's Catholic Primary School","","Arden Road","Henley-In-Arden","B95 5FT",415470,265940,"Freehold","Occupied by the Local Authority","Land with a permanent building",644.31,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",241402.28,"Not Currently Available","E"
