SOA Code,SOA Name,Ward Name,Locality,District/Borough,JSA Claimants June 2008,JSA Claimants June 2009,Working Age Population,JSA Claimant Count Rate June 2008,JSA Claimant Count Rate June 2009
E01031035,Warton and Shuttington,Newton Regis and Warton,North Warwickshire - North ,North Warwickshire,8,48,1077,0.7%,4.5%
E01031036,"Newton Regis, Austrey and Seckington",Newton Regis and Warton,North Warwickshire - North ,North Warwickshire,9,28,932,1.0%,3.0%
E01031037,Polesworth East - St Helena,Polesworth East,North Warwickshire - North ,North Warwickshire,16,52,833,1.9%,6.2%
E01031038,Polesworth East - Station,Polesworth East,North Warwickshire - North ,North Warwickshire,12,37,1270,0.9%,2.9%
E01031039,Polesworth West - School,Polesworth West,North Warwickshire - North ,North Warwickshire,11,34,1015,1.1%,3.3%
E01031040,Polesworth West - Birchmoor & Pooley Fields,Polesworth West,North Warwickshire - North ,North Warwickshire,9,31,1177,0.8%,2.6%
E01031041,Water Orton West,Water Orton,North Warwickshire - West ,North Warwickshire,17,39,1215,1.4%,3.2%
E01031042,Water Orton East,Water Orton,North Warwickshire - West ,North Warwickshire,9,24,1122,0.8%,2.1%
E01031043,Abbey Town Centre,Abbey,Abbey & Wem Brook ,Nuneaton and Bedworth,56,109,849,6.6%,12.8%
E01031044,Abbey North,Abbey,Abbey & Wem Brook ,Nuneaton and Bedworth,37,60,917,4.0%,6.5%
E01031045,Abbey West,Abbey,Abbey & Wem Brook ,Nuneaton and Bedworth,31,44,933,3.3%,4.7%
E01031046,Abbey Priory,Abbey,Abbey & Wem Brook ,Nuneaton and Bedworth,52,92,1014,5.1%,9.1%
E01031047,Abbey South,Abbey,Abbey & Wem Brook ,Nuneaton and Bedworth,47,79,1109,4.2%,7.1%
E01031048,Arbury Heath End,Arbury,Arbury & Stockingford ,Nuneaton and Bedworth,13,41,902,1.4%,4.5%
E01031049,Arbury George Elliott,Arbury,Arbury & Stockingford ,Nuneaton and Bedworth,21,66,1202,1.7%,5.5%
E01031050,Arbury Rural,Arbury,Arbury & Stockingford ,Nuneaton and Bedworth,22,51,935,2.4%,5.5%
E01031051,Arbury North,Arbury,Arbury & Stockingford ,Nuneaton and Bedworth,10,21,935,1.1%,2.2%
E01031052,Attleborough North East,Attleborough,Abbey & Wem Brook ,Nuneaton and Bedworth,19,51,986,1.9%,5.2%
E01031053,Attleborough North West,Attleborough,Whitestone & Bulkington/Abbey & Wem Brook,Nuneaton and Bedworth,24,36,789,3.0%,4.6%
E01031054,Attleborough Central,Attleborough,Whitestone & Bulkington ,Nuneaton and Bedworth,28,35,874,3.2%,4.0%
E01031055,Attleborough South West,Attleborough,Whitestone & Bulkington ,Nuneaton and Bedworth,8,36,1346,0.6%,2.7%
E01031056,Attleborough South East,Attleborough,Whitestone & Bulkington ,Nuneaton and Bedworth,24,39,862,2.8%,4.5%
E01031057,Bar Pool North & Crescents,Bar Pool,Arbury & Stockingford ,Nuneaton and Bedworth,68,94,809,8.4%,11.6%
E01031058,Bar Pool West & Recreation Ground,Bar Pool,Arbury & Stockingford ,Nuneaton and Bedworth,29,47,911,3.2%,5.2%
E01031059,Bar Pool East & Greenmoor,Bar Pool,Arbury & Stockingford ,Nuneaton and Bedworth,33,60,878,3.8%,6.8%
E01031060,Bar Pool Central,Bar Pool,Arbury & Stockingford ,Nuneaton and Bedworth,20,36,889,2.2%,4.0%
E01031061,Bar Pool South,Bar Pool,Arbury & Stockingford ,Nuneaton and Bedworth,18,36,1116,1.6%,3.2%
E01031062,Bede South West,Bede,Bedworth South ,Nuneaton and Bedworth,12,30,749,1.6%,4.0%
E01031063,Bede Cannons,Bede,Bedworth South ,Nuneaton and Bedworth,42,58,732,5.7%,7.9%
E01031064,Bede Bedworth Town Centre,Bede,Bedworth South ,Nuneaton and Bedworth,28,43,597,4.7%,7.2%
E01031065,Bede North,Bede,Bedworth South ,Nuneaton and Bedworth,30,62,924,3.2%,6.7%
E01031066,Bede East,Bede,Bedworth South ,Nuneaton and Bedworth,51,90,794,6.4%,11.3%
E01031067,Bulkington Village,Bulkington,Whitestone & Bulkington ,Nuneaton and Bedworth,20,34,822,2.4%,4.1%
E01031068,Bulkington South East,Bulkington,Whitestone & Bulkington ,Nuneaton and Bedworth,8,32,861,0.9%,3.7%
E01031069,Bulkington North,Bulkington,Whitestone & Bulkington ,Nuneaton and Bedworth,6,16,752,0.8%,2.1%
E01031070,Bulkington Arden,Bulkington,Whitestone & Bulkington ,Nuneaton and Bedworth,10,19,842,1.2%,2.3%
E01031071,Camp Hill Village Centre,Camp Hill,Camp Hill & Galley Common ,Nuneaton and Bedworth,48,88,724,6.6%,12.2%
E01031072,Camp Hill South West & Brook,Camp Hill,Camp Hill & Galley Common ,Nuneaton and Bedworth,39,45,659,5.9%,6.8%
E01031073,Camp Hill North & Pools,Camp Hill,Camp Hill & Galley Common ,Nuneaton and Bedworth,19,59,967,2.0%,6.1%
E01031074,Camp Hill North West & Allotments,Camp Hill,Camp Hill & Galley Common ,Nuneaton and Bedworth,47,77,929,5.1%,8.3%
E01031075,Camp Hill West & Quarry,Camp Hill,Camp Hill & Galley Common ,Nuneaton and Bedworth,47,82,915,5.1%,9.0%
E01031076,Exhall Grange,Exhall,Bedworth North ,Nuneaton and Bedworth,12,31,837,1.4%,3.7%
E01031077,Keresley North and Newlands,Exhall,Bedworth North ,Nuneaton and Bedworth,20,56,869,2.3%,6.4%
E01031078,Keresley South and Ash Green,Exhall,Bedworth North ,Nuneaton and Bedworth,30,42,1145,2.6%,3.7%
E01031079,Exhall West,Exhall,Bedworth South ,Nuneaton and Bedworth,21,59,882,2.4%,6.7%
E01031080,Exhall East,Exhall,Bedworth South ,Nuneaton and Bedworth,28,71,872,3.2%,8.1%
E01031081,Galley Common South East,Galley Common,Camp Hill & Galley Common ,Nuneaton and Bedworth,20,48,1128,1.8%,4.3%
E01031082,Galley Common South,Galley Common,Camp Hill & Galley Common ,Nuneaton and Bedworth,10,21,1059,0.9%,2.0%
E01031083,Galley Common West & Rural,Galley Common,Camp Hill & Galley Common ,Nuneaton and Bedworth,14,38,998,1.4%,3.8%
E01031084,Chapel End,Galley Common,Camp Hill & Galley Common ,Nuneaton and Bedworth,18,53,1298,1.4%,4.1%
E01031085,Galley Common East,Galley Common,Camp Hill & Galley Common ,Nuneaton and Bedworth,11,35,1060,1.0%,3.3%
E01031086,Goodyers End,Heath,Bedworth North ,Nuneaton and Bedworth,17,67,1031,1.6%,6.5%
E01031087,Heath Sports,Heath,Bedworth North ,Nuneaton and Bedworth,36,75,1180,3.1%,6.4%
E01031088,Market End and Newdigate,Heath,Bedworth North ,Nuneaton and Bedworth,22,57,1095,2.0%,5.2%
E01031089,Little Heath,Heath,Bedworth North ,Nuneaton and Bedworth,9,46,851,1.1%,5.4%
E01031090,Kingswood Grove Farm & Rural,Kingswood,Arbury & Stockingford ,Nuneaton and Bedworth,58,84,929,6.2%,9.0%
E01031091,Kingswood St Pauls,Kingswood,Arbury & Stockingford ,Nuneaton and Bedworth,12,38,827,1.5%,4.6%
E01031092,Kingswood Stockingford Schools,Kingswood,Arbury & Stockingford ,Nuneaton and Bedworth,25,55,858,2.9%,6.4%
E01031093,Kingswood Hills,Kingswood,Arbury & Stockingford ,Nuneaton and Bedworth,17,36,842,2.0%,4.3%
E01031094,Kingswood North East,Kingswood,Arbury & Stockingford ,Nuneaton and Bedworth,21,42,732,2.9%,5.7%
E01031095,Poplar Nicholas Chamberlain,Poplar,Bedworth South ,Nuneaton and Bedworth,23,56,727,3.2%,7.7%
