SOA Code,SOA Name,Ward Name,Locality,District/Borough,JSA Claimants June 2008,JSA Claimants June 2009,Working Age Population,JSA Claimant Count Rate June 2008,JSA Claimant Count Rate June 2009
E01031227,Tiddington & Alveston,Stratford Alveston,Stratford-on-Avon & Shipston ,Stratford-on-Avon,5,25,1030,0.5%,2.4%
E01031228,Clopton & Welcombe Hills,Stratford Avenue and New Town,Stratford-on-Avon & Shipston ,Stratford-on-Avon,12,19,936,1.3%,2.0%
E01031229,Town Centre North,Stratford Avenue and New Town,Stratford-on-Avon & Shipston ,Stratford-on-Avon,17,36,1103,1.5%,3.3%
E01031230,The Avenue,Stratford Avenue and New Town,Stratford-on-Avon & Shipston ,Stratford-on-Avon,12,44,1403,0.9%,3.1%
E01031231,Maybird,Stratford Avenue and New Town,Stratford-on-Avon & Shipston ,Stratford-on-Avon,27,55,1158,2.3%,4.7%
E01031232,Shottery South & Racecourse,Stratford Guild and Hathaway,Stratford-on-Avon & Shipston ,Stratford-on-Avon,7,25,1443,0.5%,1.7%
E01031233,Shottery North & Racecourse,Stratford Guild and Hathaway,Stratford-on-Avon & Shipston ,Stratford-on-Avon,18,25,1009,1.8%,2.5%
E01031234,Old Town & Town Centre South,Stratford Guild and Hathaway,Stratford-on-Avon & Shipston ,Stratford-on-Avon,10,29,914,1.1%,3.2%
E01031235,Old Town,Stratford Guild and Hathaway,Stratford-on-Avon & Shipston ,Stratford-on-Avon,9,24,1072,0.8%,2.2%
E01031236,Bishopton,Stratford Mount Pleasant,Stratford-on-Avon & Shipston ,Stratford-on-Avon,12,28,1051,1.1%,2.7%
E01031237,Stratford Mount Pleasant West,Stratford Mount Pleasant,Stratford-on-Avon & Shipston ,Stratford-on-Avon,7,21,832,0.8%,2.5%
E01031238,Stratford Mount Pleasant East,Stratford Mount Pleasant,Stratford-on-Avon & Shipston ,Stratford-on-Avon,18,37,752,2.4%,4.9%
E01031239,Studley East & Priory,Studley,"Alcester, Studley & Henley ",Stratford-on-Avon,13,29,912,1.4%,3.2%
E01031240,Studley North,Studley,"Alcester, Studley & Henley ",Stratford-on-Avon,8,34,750,1.1%,4.5%
E01031241,Studley West & Common,Studley,"Alcester, Studley & Henley ",Stratford-on-Avon,7,20,862,0.8%,2.3%
E01031242,Studley South,Studley,"Alcester, Studley & Henley ",Stratford-on-Avon,17,44,819,2.1%,5.4%
E01031243,Earlswood,Tanworth,"Alcester, Studley & Henley ",Stratford-on-Avon,9,20,1097,0.8%,1.8%
E01031244,Tanworth,Tanworth,"Alcester, Studley & Henley ",Stratford-on-Avon,7,21,1128,0.6%,1.9%
E01031245,Tredington & Blackwell,Tredington,Stratford-on-Avon & Shipston ,Stratford-on-Avon,6,9,651,0.9%,1.4%
E01031246,"Newbold-on-Stour, Ilmington East & Whitchurch",Tredington,Stratford-on-Avon & Shipston ,Stratford-on-Avon,#,7,648,#VALUE!,1.1%
E01031247,Vale of the Red Horse,Vale of the Red Horse,Stratford-on-Avon & Shipston ,Stratford-on-Avon,6,29,1295,0.5%,2.2%
E01031248,Welford,Welford,"Alcester, Studley & Henley ",Stratford-on-Avon,6,17,1107,0.5%,1.5%
E01031249,Wellesbourne West,Wellesbourne,"Southam, Wellesbourne & Kineton ",Stratford-on-Avon,11,22,780,1.4%,2.8%
E01031250,"Wellesbourne East, Walton & Airfield",Wellesbourne,"Southam, Wellesbourne & Kineton ",Stratford-on-Avon,4,12,863,0.5%,1.4%
E01031251,Wellesbourne South,Wellesbourne,"Southam, Wellesbourne & Kineton ",Stratford-on-Avon,3,24,702,0.4%,3.4%
E01031252,"Moreton Morrell, Ashorne & Newbold Pacey",Wellesbourne,"Southam, Wellesbourne & Kineton ",Stratford-on-Avon,#,16,843,#VALUE!,1.9%
E01031253,Wellesbourne North,Wellesbourne,"Southam, Wellesbourne & Kineton ",Stratford-on-Avon,9,19,921,1.0%,2.1%
E01031254,Castle & Burton Green,Abbey,Kenilworth ,Warwick,#,11,859,#VALUE!,1.3%
