Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group
230217,Allsigns International Ltd,51432469,R4008,Equipment,668.08,27/09/2018,Resources
207773,Allstar Business Solutions Ltd,51433913,R3004,Repair & Maintenance Of Vehicles,24913.36,05/09/2018,Communities
218178,Allworks Properties Ltd,51436727,R2201,Rents & Lettings,4000.00,13/09/2018,Communities
200291,Alveston Cygnets,51439824,R6106,Early Years Funding (PVIs and LA),16306.73,24/09/2018,Communities
200291,Alveston Cygnets,51440832,R6106,Early Years Funding (PVIs and LA),1500.31,25/09/2018,Communities
223286,Ambion Contractors Ltd,51437387,R4010,Equipment Hire,600.00,14/09/2018,Communities
228595,Amelio Utilities (Gloucester) Ltd,51433442,R5702,Payments to External Contractors,3090.00,05/09/2018,Communities
228595,Amelio Utilities (Gloucester) Ltd,51434617,R5702,Payments to External Contractors,3300.00,07/09/2018,Communities
228595,Amelio Utilities (Gloucester) Ltd,51438815,R5702,Payments to External Contractors,800.00,21/09/2018,Communities
235474,Ameo Professional Services Ltd,51441448,R4409,Consultancy,21800.00,26/09/2018,Fire and Rescue
200338,Angel Springs Ltd,51428691,R4015,Equipment Repair & Maintenance,550.00,12/09/2018,Resources
200389,Apetito Ltd,51426972,R5807,Social Care Block Contracts,15059.22,06/09/2018,People Group
210713,Apple Grove Day Nursery Ltd,51439875,R6106,Early Years Funding (PVIs and LA),10478.16,24/09/2018,Communities
210713,Apple Grove Day Nursery Ltd,51440858,R6106,Early Years Funding (PVIs and LA),1555.26,25/09/2018,Communities
220479,Appleford School,51429242,R6107,SEN Statements Funding,7350.00,13/09/2018,Communities
220479,Appleford School,51429244,R6107,SEN Statements Funding,10747.00,13/09/2018,Communities
234649,Appoint Us Services (Midlands) CIC,51429888,R6104,Social Care - Section 17 Payments,750.00,14/09/2018,People Group
236956,APT Security Systems Ltd,51426983,R5702,Payments to External Contractors,3839.12,05/09/2018,Communities
236956,APT Security Systems Ltd,51433908,R5702,Payments to External Contractors,2116.00,05/09/2018,Communities
213826,Arbury Medical Centre,51440715,R5702,Payments to External Contractors,1092.00,28/09/2018,Communities
213826,Arbury Medical Centre,51440769,R5702,Payments to External Contractors,524.58,28/09/2018,Communities
237187,Arcalu Architectural Aluminium Ltd,51436737,R2002,Building Maintenance,3627.61,13/09/2018,Communities
200417,Arco Ltd,51429012,R4008,Equipment,1122.00,12/09/2018,Fire and Rescue
200419,Arden Construction Ltd,51432822,C1030,"New Construction, Conversion & Renovation",25981.35,04/09/2018,Capital
200419,Arden Construction Ltd,51440442,C1030,"New Construction, Conversion & Renovation",20624.50,27/09/2018,Capital
236288,Arden Fields School (Academy),51438579,R6107,SEN Statements Funding,37973.00,19/09/2018,Communities
226768,Arden Leisure Ltd t/a Studley Sports Centre,51428463,R2201,Rents & Lettings,1380.00,07/09/2018,Communities
200429,Argos Business Solutions Ltd (****9518),51426738,R4008,Equipment,2122.48,05/09/2018,Resources
200429,Argos Business Solutions Ltd (****9518),51428947,R4008,Equipment,1293.78,13/09/2018,Resources
200429,Argos Business Solutions Ltd (****9518),51432468,R4008,Equipment,1500.83,27/09/2018,Resources
217464,Armada Computer Publications Ltd,51432553,R1601,Training,1980.00,27/09/2018,Communities
200441,Arriva Midlands North Ltd (****4814),51435588,R5704,Public Transport,17380.00,11/09/2018,Communities
200441,Arriva Midlands North Ltd (****4814),51435557,R5704,Public Transport,13900.28,18/09/2018,Communities
200441,Arriva Midlands North Ltd (****4814),51435624,R5704,Public Transport,22940.00,18/09/2018,Communities
213431,Ash Green School & Arts College (Academy),51438913,R6107,SEN Statements Funding,2160.00,21/09/2018,Communities
236184,Ashby and Croft Manufacturing Ltd,51432827,C1030,"New Construction, Conversion & Renovation",45185.31,21/09/2018,Capital
208346,Ashe Construction Ltd,51432809,C1030,"New Construction, Conversion & Renovation",159455.67,04/09/2018,Capital
209807,Ashlawn School Academy Trust,51438873,R6107,SEN Statements Funding,8125.00,21/09/2018,Communities
200465,Ashleigh Nursery School,51439870,R6106,Early Years Funding (PVIs and LA),24934.14,24/09/2018,Communities
200465,Ashleigh Nursery School,51440820,R6106,Early Years Funding (PVIs and LA),1555.26,25/09/2018,Communities
226763,Aspect Care Home Ltd,51439560,R5851,Supported Living,868.16,21/09/2018,People Group
226763,Aspect Care Home Ltd,51439563,R5851,Supported Living,868.16,21/09/2018,People Group
226763,Aspect Care Home Ltd,51439562,R5851,Supported Living,868.16,21/09/2018,People Group
226763,Aspect Care Home Ltd,51440216,R5851,Supported Living,868.16,24/09/2018,People Group
226763,Aspect Care Home Ltd,51440217,R5851,Supported Living,868.16,24/09/2018,People Group
226763,Aspect Care Home Ltd,51440211,R5851,Supported Living,868.16,24/09/2018,People Group
226763,Aspect Care Home Ltd,51440215,R5851,Supported Living,868.16,24/09/2018,People Group
226763,Aspect Care Home Ltd,51440209,R5851,Supported Living,868.16,24/09/2018,People Group
226763,Aspect Care Home Ltd,51440210,R5851,Supported Living,868.16,24/09/2018,People Group
200472,Aspire People Ltd,51435472,R1101,Agency Staff Pay,1695.00,24/09/2018,Schools
200472,Aspire People Ltd,51435473,R1101,Agency Staff Pay,1337.00,24/09/2018,Schools
227903,Asset Utilities Ltd,51431348,R2022,Property Services Building (LB),1200.00,19/09/2018,Resources
231639,Association of Directors of Public Health,51428853,R1401,Professional Subscriptions,3100.00,07/09/2018,Communities
