For Entry In,Area,Name of School,PAN,Total Offered,Breakdown
2009,East,Oakfield (Community) Primary School,30,26,All Offered including Unplaced Applicants.
2009,East,Our Lady's Catholic (Aided) Primary School Princethorpe,17,10,All Offered
2009,East,Paddox (Community) Primary School,60,59,All offered including Unplaced Applicants.
2009,East,Provost Williams C. of E. (Controlled) Primary School,30,29,All Offered including Unplaced Applicants.
2009,East,The Revel C. of E. (Aided) Primary School,40,40,Places Allocated According to Schools Criteria. Contact School for Details
2009,East,Rokeby (Community) Primary School,30,28,All Offered
2009,East,St Andrew's Benn C. of E. (Aided) Primary School,45,19,All Offered
2009,East,St Marie's Nursery and Catholic (Aided) Infant School,60,56,All Offered
2009,East,St Matthew's Bloxam C. of E. (Controlled) Primary School,30,30,"All On Time Criteria 2, 4, 5 and 7. Plus Late Criteria 4."
2009,East,St Oswald's C. of E. (Controlled) Primary School,30,26,All Offered including Unplaced Applicants.
2009,East,"Wolston, St Margaret's C. of E. (Controlled) Primary School",25,25,All On Time Criteria 2 and 4.
2009,East,Abbots Farm (Community) Junior School,66,35,All Offered including unplaced applicants
2009,East,Bilton C. of E. (Controlled) Junior School,105,99,All Offered
2009,East,Boughton Leigh (Community) Junior School,100,54,All Offered including unplaced applicants
2009,East,Dunchurch Boughton C. of E. (Aided) Junior School,66,64,All Offered
2009,East,Henry Hinde (Community) Junior School,70,61,All Offered including Unplaced Applicants
2009,East,St Marie's Catholic (Aided) Junior School,60,46,All Offered
2009,North,Arden Hill (Community) Infant School,60,41,All Offered including Unplaced Applicants.
2009,North,Austrey C. of E. (Controlled) Primary School,15,8,All Offered
2009,North,Birchwood (Community) Primary School,59,59,All Offered 
2009,North,Bournebrook C. of E. (Controlled) Primary School,19,19,All On Time Criteria 2 & 4. Plus Criteria 5 up to a distance of 2.457 miles
2009,North,Coleshill C. of E. (Aided) Primary School,30,21,All Offered
2009,North,Curdworth  (Community) Primary School,17,17,"All On Time Criteria 2,4 & 5. Plus Criteria 7 up to a distance of 4.261 miles."
2009,North,Dordon (Community) Primary School,30,8,All Offered including Unplaced Applicants.
2009,North,Gun Hill (Community) Infant and Nursery School,45,31,All Offered including Unplaced Applicants
2009,North,High Meadow (Community) Infant School,30,28,All Offered including Unplaced Applicants
2009,North,Hurley (Community) Primary School,25,14,All Offered
2009,North,Kingsbury (Community) Primary School,45,43,All Offered. 
2009,North,The Nethersoles C. of E. (Controlled) Primary School ,45,45,All On Time Applicants.
2009,North,Newton Regis C. of E. (Controlled) Primary School,17,17,All On Time Applicants. Plus all Late Criteria 4 and Late Criteria 7 up to a distance of 4.236 miles.
2009,North,Racemeadow (Community) Primary School,60,32,All Offered
2009,North,Shustoke C. of E. (Controlled) Primary School,27,27,"All On Time Criteria 2,4 & 5. Plus Criteria 7 up to a distance of 2.913 miles."
2009,North,St Benedict's Catholic (Aided) Primary School,20,20,Places Allocated According to Schools Criteria. Contact School direct for details.
2009,North,St Edward's Catholic (Aided) Primary School,30,30,Places Allocated According to Schools Criteria. Contact School direct for details
2009,North,Warton Nethersoles C. of E. (Controlled) Primary School,22,20,All Offered including Unplaced Applicants.
2009,North,Water Orton (Community) Primary School,55,44,All Offered
2009,North,Wood End (Community) Primary School,25,16,All Offered
2009,North,Woodside C. of E. (Controlled) Primary School,40,34,All Offered
2009,North,Herbert Fowler Junior School,45,18,All Offered.
2009,North,Oakfield Junior School,60,44,All Offered 
2009,North,Coleshill C of E Primary (Aided),30,23,All Offered 
2009,Nun & Bed,Canon Maggs C. of E. (Aided) Junior School,85,85,Places Allocated According to Schools Criteria. Contact School for Details.
2009,Nun & Bed,Chetwynd (Community) Junior School,120,88,All Offered including unplaced applicants
2009,Nun & Bed,Croft (Community) Junior School,90,59,All Offered including unplaced applicants
2009,Nun & Bed,Michael Drayton (Community) Junior School,127,104,All Offered 
2009,Nun & Bed,Middlemarch Junior School (Foundation),60,44,All Offered
2009,Nun & Bed,Queen's C. of E. (Controlled) Junior School,90,28,All Offered including unplaced applicants
2009,Nun & Bed,Race Leys (Community) Junior School,64,51,All Offered including Unplaced Applicants
2009,Nun & Bed,St Giles' (Community) Junior School,60,52,All Offered including unplaced applicants
2009,Nun & Bed,St James' C. of E. (Controlled) Junior School,60,55,All Offered
2009,Nun & Bed,St Joseph's Catholic (Aided) Junior School,68,68,Places Allocated According to Schools Criteria. Contact School for Details.
2009,Nun & Bed,Stockingford (Community) Junior School,120,50,All Offered including unplaced applicants
2009,Nun & Bed,Abbey C. of E. Infant School,60,54,All Offered
2009,Nun & Bed,"All Saints C. of E. (Aided) Infant School, Bedworth",30,27,All Offered
2009,Nun & Bed,"All Saints C. of E. (Controlled) Primary School, Nuneaton ",30,16,All Offered including Unplaced Applicants.
2009,Nun & Bed,Arden Forest (Community) Infant School,60,60,All Offered. 
