Estab,School Name,Type,Phase,Education Area,District Area,2008,2009,2010
5204,Dunchurch Infant School,Infant,Primary,Eastern,Rugby,1.3,2.9,4.7
5203,Dunnington C Of E Primary School,Primary,Primary,Southern,Stratford on Avon,3.7,1.9,0
2415,Eastlands Primary School,Primary,Primary,Eastern,Rugby,5.9,5,10.5
2332,Emscote Infant School,Infant,Primary,Central,Warwick,15.6,22,13.5
3564,English Martyrs Catholic Primary School,Primary,Primary,Eastern,Rugby,3.8,3.3,5.1
4004,Etone Technology Language Vocational College,Secondary,Secondary,Nuneaton & Bedworth,Nuneaton and Bedworth,6.3,7.8,8.7
3024,Ettington C.Of E. Primary School,Primary,Primary,Southern,Stratford on Avon,2,1.4,1.3
2635,Exhall Cedars Infant School,Infant,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,12.5,20.3,21.6
7000,Exhall Grange School and Science College,Special,Special,Nuneaton & Bedworth,Nuneaton and Bedworth,18.5,20.7,23.4
2107,Galley Common Infant School,Infant,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,2.2,4.8,7.8
2585,Glendale Infant School,Infant,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,7.2,14,14.2
2634,Goodyers End Primary School,Primary,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,17.7,19.4,20.8
2024,Great Alne Primary School,Primary,Primary,Southern,Stratford on Avon,7,7.1,9.6
2002,Gun Hill Infant School,Infant,Primary,North Warwickshire,North Warwickshire,18.9,26.4,30.5
3031,Hampton Lucy C.Of E. Primary School,Primary,Primary,Southern,Stratford on Avon,0,0,1
3032,Harbury C.Of E. Primary School,Primary,Primary,Central,Stratford on Avon,2.6,5.1,8.7
4802,Harris School,Secondary,Secondary,Eastern,Rugby,11.1,11.7,10.6
5402,Hartshill School,Secondary,Secondary,North Warwickshire,North Warwickshire,9.1,10.4,13.4
5200,Haselor School,Primary,Primary,Southern,Stratford on Avon,1.1,1,1.2
4108,Henley-In-Arden High School,Secondary,Secondary,Southern,Stratford on Avon,5.1,5.2,6.2
2031,Henley-In-Arden Primary School,Primary,Primary,Southern,Stratford on Avon,2.4,9.8,11
2424,Henry Hinde Infant School,Infant,Primary,Eastern,Rugby,16.6,15.2,17.1
2588,Henry Hinde Junior School,Junior,Primary,Eastern,Rugby,9.9,11.1,13.6
2594,Herbert Fowler Junior School,Junior,Primary,North Warwickshire,North Warwickshire,15,17.3,16.1
2569,High Meadow Infant School,Infant,Primary,North Warwickshire,North Warwickshire,2.8,8.1,9.8
4153,Higham Lane School A Business and Enterprise College,Secondary,Secondary,Nuneaton & Bedworth,Nuneaton and Bedworth,3.9,4.8,4.7
2628,Hillmorton Primary School,Primary,Primary,Eastern,Rugby,14.5,13.4,15.7
2032,Hurley Primary School,Primary,Primary,North Warwickshire,North Warwickshire,22.5,19.7,20
3035,Ilmington C.Of E. Primary School,Primary,Primary,Southern,Stratford on Avon,1.9,2.7,0.9
1020,Kenilworth Children's Centre and Nursery School,Nursery,Nursery,Central,Warwick,0,0,0
4236,Kenilworth School and Sports College,Secondary,Secondary,Central,Warwick,2.2,2.3,2.7
2613,Keresley Newland Primary School,Primary,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,20,25.7,24.2
3308,Kineton C.Of E. (Voluntary Aided) Primary School,Primary,Primary,Southern,Stratford on Avon,5.2,8.5,9.2
4110,"Kineton High School, A Specialist Sports College",Secondary,Secondary,Southern,Stratford on Avon,5.5,6.6,5.6
4601,King Edward VI School,Secondary,Secondary,Southern,Stratford on Avon,0.2,0.2,0.7
3596,Kingsbury Primary School,Primary,Primary,North Warwickshire,North Warwickshire,8.1,6.8,11
4111,"Kingsbury School, a Specialist Science and Mathematics College",Secondary,Secondary,North Warwickshire,North Warwickshire,6.6,5.6,7.7
2638,Kingsway Community Primary School,Primary,Primary,Central,Warwick,12.7,22.9,24.1
3590,Knightlow C.Of E. Primary School,Primary,Primary,Eastern,Rugby,5.5,6,4.3
3147,Lapworth C.Of E. Primary School,Primary,Primary,Central,Warwick,4.2,5,7.5
4620,Lawrence Sheriff School,Secondary,Secondary,Eastern,Rugby,1.5,1.1,1.1
3180,Leamington Hastings C.Of E. Infant School,Infant,Primary,Eastern,Rugby,0,0,2.6
2064,Lighthorne Heath Primary School,Primary,Primary,Southern,Stratford on Avon,24.3,23.3,34.8
2621,Lillington Nursery and Primary School,Primary,Primary,Central,Warwick,37.5,38.1,44.9
3211,Long Itchington Primary School,Primary,Primary,Central,Stratford on Avon,6.5,5.2,6
2405,Long Lawford Primary School,Primary,Primary,Eastern,Rugby,7.7,12.4,17.9
