ESTAB,School Name,Type,Phase,Education Area,District,2006_07_Total absence_4half_terms ,2007_08_Total absence_4half_terms ,2008_09_Total absence_4half_terms ,2006_07_Persistent_ absence_4half_terms ,2007_08_Persistent_ absence_4half_terms ,2007_08_Persistent_ absence_4half_terms 
5409,The George Eliot School,Secondary,Secondary,Nuneaton & Bedworth,Nuneaton and Bedworth,9.3,8.6,6.9,9.4,8.1,5.2
3209,The Nethersole C.Of E. Primary School,Primary,Primary,North Warwickshire,North Warwickshire,4.9,5.3,5.5,1,1.8,0.7
3593,The Revel C.Of E. (Aided) Primary School,Primary,Primary,Eastern,Rugby,5,3.7,4.2,0.7,0.3,0.3
3204,The Willows C.Of E. Primary School,Primary,Primary,Southern,Stratford upon Avon,4.2,4.5,3.7,1.2,0.8,0.4
2052,Thomas Jolyffe Primary School,Primary,Primary,Southern,Stratford upon Avon,5.1,5,5.8,2,3.9,3.4
2307,Thorns Community Infant School,Infant,Primary,Central,Warwick,4.2,3.7,3.4,1.7,0.8,0
4752,Trinity Catholic School - A Specialist Arts and Technology College,Secondary,Secondary,Central,Warwick,8.3,6.7,7.9,6.1,5,5.4
3068,Tysoe C.Of E. Primary School,Primary,Primary,Southern,Stratford upon Avon,4.1,4.5,5.2,1.8,0.6,0.6
3072,Warton Nethersole's C.Of E. Primary School,Primary,Primary,North Warwickshire,North Warwickshire,4.5,4,5.2,1.7,0.8,0.9
2618,Water Orton Primary School,Primary,Primary,North Warwickshire,North Warwickshire,3.9,4.4,4.3,0,0.4,0.4
2632,Weddington Primary School,Primary,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,4.4,4.5,4.8,0.8,1.4,2
7044,Welcombe Hills School,Special,Special,Southern,Stratford upon Avon,,,,,,
2058,Welford-On-Avon Primary School,Primary,Primary,Southern,Stratford upon Avon,3.9,4.6,4.3,0,1.1,0.5
3073,Wellesbourne C.Of E. Primary School,Primary,Primary,Southern,Stratford upon Avon,4.9,3.7,3.9,1.5,0.7,0.7
2629,Wembrook Primary School,Primary,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,5.7,5.7,6.2,1.6,4.2,2.5
2322,Westgate Primary School,Primary,Primary,Central,Warwick,7.3,5.7,6.5,3.6,2.4,3.6
2021,Wheelwright Lane Primary School,Primary,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,3.8,3.3,3.5,0.4,0.9,0
2123,Whitestone Infant School,Infant,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,5.1,4.2,4.8,0.5,1.7,1.1
2324,Whitnash Primary School,Primary,Primary,Central,Warwick,4.8,4.9,6.3,2,1,5.9
3313,Wilmcote C.Of E. (Voluntary Aided) Primary School,Primary,Primary,Southern,Stratford upon Avon,7.1,4.9,7.1,5.6,2.2,4.8
3192,Wolston St. Margaret's C.Of E. Primary School,Primary,Primary,Eastern,Rugby,5.1,5.6,7.4,3.4,5.7,5.6
5201,Wolverton Primary School,Primary,Primary,Southern,Stratford upon Avon,4.1,3.2,3.1,0,0,0
3193,Wolvey C.Of E. Primary School,Primary,Primary,Nuneaton & Bedworth,Rugby,7,8,10.2,6.9,10.2,12
2063,Wood End Primary School,Primary,Primary,North Warwickshire,North Warwickshire,5.9,4.4,6,2.5,0,4.4
7047,Woodlands School,Special,Special,North Warwickshire,North Warwickshire,,,,,,
5207,Woodloes Primary School,Primary,Primary,Central,Warwick,,,,,,
2642,Woodside C.Of E. Primary School,Primary,Primary,North Warwickshire,North Warwickshire,4.8,4.7,5.3,0.9,0.5,1
3074,Wootton Wawen C.Of E. Primary School,Primary,Primary,Southern,Stratford upon Avon,5,4.9,4.5,1.4,2.1,0.7
