ESTAB,School Name,Type,Phase,Education Area,District,2006_07_Total absence_4half_terms ,2007_08_Total absence_4half_terms ,2008_09_Total absence_4half_terms ,2006_07_Persistent_ absence_4half_terms ,2007_08_Persistent_ absence_4half_terms ,2007_08_Persistent_ absence_4half_terms 
2308,Clinton Primary School,Primary,Primary,Central,Warwick,2.9,2.6,2.8,0,0.6,0
3586,Coleshill C.Of E. Primary School,Primary,Primary,North Warwickshire,North Warwickshire,5.2,4.6,5.9,1.8,1.4,2.2
2623,Coten End Primary School,Primary,Primary,Central,Warwick,4,3.7,3.7,0,0.3,0.3
3021,Coughton C.Of E. Primary School,Primary,Primary,Southern,Stratford upon Avon,4.2,3.6,4.5,0.8,0,0
2601,Croft Junior School,Junior,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,5.2,5,6.3,0.9,1.5,4.2
3144,Cubbington C.Of E. Primary School,Primary,Primary,Central,Warwick,4,4.8,4.9,0,0.6,0.6
2502,Curdworth Primary School,Primary,Primary,North Warwickshire,North Warwickshire,3.2,4.4,4.1,0,0,0
2018,Dordon Community Primary School,Primary,Primary,North Warwickshire,North Warwickshire,6.7,6.5,7.1,4.9,3.2,2
3391,Dunchurch Boughton C.Of E. (Voluntary Aided) Junior School,Junior,Primary,Eastern,Rugby,4,3.1,3.9,0.8,0,2.3
5204,Dunchurch Infant School,Infant,Primary,Eastern,Rugby,5.1,4,3.7,1.9,3,0
5203,Dunnington C Of E Primary School,Primary,Primary,Southern,Stratford upon Avon,3.3,3.4,3.7,0,1.1,0
2415,Eastlands Primary School,Primary,Primary,Eastern,Rugby,4.3,5.1,4.4,2.1,1.1,0.6
2332,Emscote Infant School,Infant,Primary,Central,Warwick,5.1,6,6.1,1.2,4.3,3.7
3564,English Martyrs Catholic Primary School,Primary,Primary,Eastern,Rugby,3.3,2.9,3.1,0,0.6,0
4004,Etone Technology Language Vocational College,Secondary,Secondary,Nuneaton & Bedworth,Nuneaton and Bedworth,7.2,7.5,7.7,5.5,6.9,6.5
3024,Ettington C.Of E. Primary School,Primary,Primary,Southern,Stratford upon Avon,3.7,3.6,4.4,0,0.8,0
2635,Exhall Cedars Infant School,Infant,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,6.5,5.5,7.7,2.8,1.1,7.8
7000,Exhall Grange School and Science College,Special,Special,Nuneaton & Bedworth,Nuneaton and Bedworth,,,,,,
2107,Galley Common Infant School,Infant,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,4.3,4.3,4.1,0,0,0
2585,Glendale Infant School,Infant,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,6,5.1,6.2,3.2,1.9,2.7
2634,Goodyers End Primary School,Primary,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,6.3,5.8,4.9,1.7,2.1,1.1
2024,Great Alne Primary School,Primary,Primary,Southern,Stratford upon Avon,5.2,4.4,3.4,0.9,0,0
