ESTAB,School name,District,Education Area,Type,Phase,2008 Information Not Yet Obtained,2008 Any Other Asian Background,2008 Any Other Black Background,2008 Any Other Ethnic Group,2008 Any Other Mixed Background,2008 Any Other White Background,2008 Bangladeshi,2008 Black - African,2008 Black Caribbean,2008 Chinese,2008 Gypsy / Roma,2008 Indian,2008 Pakistani,2008 Refused,2008 Traveller of Irish Heritage,2008 White - British,2008 White - Irish,2008 White and Asian,2008 White and Black African,2008 White and Black Caribbean,2009 Information Not Yet Obtained,2009 Any Other Asian Background,2009 Any Other Black Background,2009 Any Other Ethnic Group,2009 Any Other Mixed Background,2009 Any Other White Background,2009 Bangladeshi,2009 Black - African,2009 Black Caribbean,2009 Chinese,2009 Gypsy / Roma,2009 Indian,2009 Pakistani,2009 Refused,2009 Traveller of Irish Heritage,2009 White - British,2009 White - Irish,2009 White and Asian,2009 White and Black African,2009 White and Black Caribbean,2010 Information Not Yet Obtained,2010 Any Other Asian Background,2010 Any Other Black Background,2010 Any Other Ethnic Group,2010 Any Other Mixed Background,2010 Any Other White Background,2010 Bangladeshi,2010 Black - African,2010 Black Caribbean,2010 Chinese,2010 Gypsy / Roma,2010 Indian,2010 Pakistani,2010 Refused,2010 Traveller of Irish Heritage,2010 White - British,2010 White - Irish,2010 White and Asian,2010 White and Black African,2010 White and Black Caribbean
5401,Ash Green School and Arts College,Nuneaton and Bedworth,Nuneaton & Bedworth,Secondary,Secondary,0.5,1.6,0.2,0.3,1.1,0.2,0,0.5,0,0,0.3,2.2,0,0.3,0,92.5,0.3,0,0,0,0,1.6,0.2,0.3,1,0.3,0,0.5,0,0.2,0,2.2,0,0.2,0,93.3,0.3,0,0,0,0,1.9,0.3,0.3,0.8,0.2,0,0.6,0,0.3,0,2.3,0,0.2,0,92.1,0.2,0.2,0,0.6
5402,Hartshill School,North Warwickshire,North Warwickshire,Secondary,Secondary,0,0,0,0.2,0.2,0.7,0,0,0,0.1,0,0.3,0.3,1.6,0,95.4,0,0.9,0,0.2,0.1,0.2,0.1,0.2,0.3,0.8,0,0.2,0.1,0.1,0,0.1,0.3,1.4,0,95,0,0.8,0,0,1.5,0.4,0.2,0.1,0.6,1.1,0,0.2,0.1,0,0,0.3,0.1,0.9,0,93.4,0,0.8,0,0.2
5403,Myton School A Specialist Science College and Training School,Warwick,Central,Secondary,Secondary,0,1.1,0,0.4,1.2,2.4,0.2,0.1,0.2,0.4,0,14.8,0.3,1.2,0,75.5,0.1,1.3,0,0.8,0,1.8,0.1,0.6,1.7,2.2,0.3,0.1,0.1,0.4,0.1,15,0.2,0.8,0,74.4,0.1,1.2,0,1.2,0,1.5,0.1,0.8,2.1,2.1,0.3,0.1,0.1,0.4,0.1,15.4,0.2,0.9,0,72.9,0,1.5,0.1,1.5
5404,Queen Elizabeth School and Sports College,North Warwickshire,North Warwickshire,Secondary,Secondary,0,0,0,0.2,0.2,1.2,0,0,0,0,0,0,0,1.5,0,96.2,0.3,0.2,0,0.2,0,0,0,0.2,0.2,0.9,0,0,0,0,0,0,0,1.4,0,96.8,0.4,0,0.2,0,0,0,0,0.2,0.2,0.3,0,0,0,0,0,0,0,1,0,98,0.2,0,0.2,0
5406,Rugby High School,Rugby,Eastern,Secondary,Secondary,0.3,0.5,0.1,0.5,1.5,1.7,0.1,0.7,0.4,0.5,0,4.2,0.7,9,0,78.3,0.1,1.1,0,0.3,0,0.7,0,0.5,1.3,1.7,0.1,1.1,0.4,0.8,0,4.6,0.5,7.5,0,78.8,0.1,1.3,0,0.4,3.5,0.6,0,0.4,1.5,2,0.2,1,0.1,0.7,0,4,0.7,5.2,0,78.3,0.2,1,0,0.5
5407,Alcester Grammar School,Stratford on Avon,Southern,Secondary,Secondary,0,0.5,0.1,0.2,1,1.3,0.1,0.1,0.1,0.2,0,0.7,0.3,0.3,0,93.7,0,0.9,0.1,0.3,0,0.3,0.1,0.1,0.6,1.3,0,0.2,0.1,0.2,0,1,0.4,0.1,0,94,0,1,0.2,0.3,0,0.3,0.1,0.2,0.6,1.2,0,0.2,0.1,0.1,0,1.3,0.2,0,0,94.4,0.1,0.7,0.2,0.2
5408,"Studley High School, Humanities and Music College",Stratford on Avon,Southern,Secondary,Secondary,0,0.3,0,0.3,0.3,0.4,0,0,0.3,0,0.1,0.3,0.3,0,0,96.3,0.3,0.5,0.1,0.7,0.1,0.5,0,0.1,0.3,0.4,0,0.1,0.3,0,0.3,0.5,0.4,0,0,95.7,0.1,0.4,0.1,0.5,0.1,0.5,0,0.1,0.1,1,0,0.1,0.3,0,0.3,0.7,1,0,0,94.4,0.1,0.8,0,0.4
5409,The George Eliot School,Nuneaton and Bedworth,Nuneaton & Bedworth,Secondary,Secondary,0,2.2,0.1,0.1,0.3,1,0,0.4,0,0,0.3,1.9,0.1,0.4,0.1,90.6,0,1.2,0,1,0,2.9,0.2,0,0.2,1,0,0.6,0,0,0.3,1.7,0.2,0.3,0.2,90,0,1.4,0,1.1,0,2.2,0.2,0,0.3,1,0,0.5,0.2,0,0.5,2.2,0.3,0.2,0.2,90,0,1.3,0,1.1
7000,Exhall Grange School and Science College,Nuneaton and Bedworth,Nuneaton & Bedworth,Special,Special,0,0,0,0.5,0.5,2.6,0,0,0.5,0,0.5,5.3,0.5,6.3,0,80.5,0.5,1.1,0,1.1,0,0,0,0.5,1.6,2.2,0,0,0.5,0,0,3.8,0.5,6.6,0,80.3,1.1,1.1,0,1.6,0,0,0,0.6,1.7,2.8,0,0,0.6,0,0,3.9,0.6,3.9,0,82.6,1.1,0.6,0,1.7
7001,River House School,Stratford on Avon,Southern,Special,Special,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,95.8,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.4,0,0,0,3.6
7002,Oak Wood Primary School,Nuneaton and Bedworth,Nuneaton & Bedworth,Special,Special,0,0,0,1.1,0,0,0,0,0,0,0,6.8,0,0,0,89.8,2.3,0,0,0,2.4,0,1.2,0,0,0,0,0,0,0,0,4.8,0,0,1.2,88.1,2.4,0,0,0,0,1.1,0,0,1.1,0,0,1.1,0,0,0,4.5,0,0,0,89.8,2.3,0,0,0
7023,Brooke School,Rugby,Eastern,Special,Special,0,0,0.7,2.1,1.4,0.7,0.7,0,0,0.7,0,2.1,0.7,9.7,0,79.3,0,0,0,2.1,0.7,0.7,0.7,0.7,1.3,2,0,0,0,0,0,2,0.7,13.2,0,76.2,0,0,0,2,0,2.5,0.6,1.3,1.3,3.1,0,0,0,0,0,1.3,1.3,10.7,0,76.1,0,0,0,1.9
7028,Ridgeway School,Warwick,Central,Special,Special,0,0,0,1.1,0,5.3,0,0,1.1,0,0,3.2,0,0,0,87.2,0,0,1.1,1.1,0,0,0,1,0,7.3,0,1,0,0,0,2.1,0,2.1,0,85.4,0,0,0,1,2.2,0,0,0,1.1,4.3,0,1.1,0,0,0,3.2,0,1.1,0,82.8,1.1,2.2,0,1.1
7030,"Round Oak School, Support Service and Sports College",Warwick,Central,Special,Special,0,0,0,0,0.8,0.8,0,0,0,0,0,2.4,0,0,0,93.7,0,1.6,0.8,0,0,0,1.4,0,0.7,0,0,0,0,0,0,2.9,0,0,0,92.9,0,1.4,0.7,0,0,0,2.1,0,1.4,0,0,0,0,0,0,3.4,0,0,0,91,0,1.4,0.7,0
7044,Welcombe Hills School,Stratford on Avon,Southern,Special,Special,0,0,0.5,0,1.6,1.6,0,0,0,0,0.5,0.5,0.5,1.6,0,92.3,0,0.5,0,0,0,0,0.6,0,1.7,1.7,0,0,0,0,0.6,0.6,0.6,1.1,0,93.3,0,0,0,0,0,0,0.6,0,2.3,1.7,0,0,0,0,0.6,0.6,0,0,0,93.8,0,0,0,0.6
7046,Oak Wood Secondary School,Nuneaton and Bedworth,Nuneaton & Bedworth,Special,Special,0.8,0,0.8,0,4.2,1.7,0,0,0,0,0,4.2,0,16.9,0,67.8,0.8,0.8,0,1.7,6.5,0,0.8,0,3.2,9.7,0,0,0,0,0,5.6,0,13.7,0,58.1,0.8,0.8,0,0.8,6.1,0,0.9,0,3.5,11.3,0,0,0.9,0,0,4.3,0,7.8,0.9,62.6,0.9,0.9,0,0
7047,Woodlands School,North Warwickshire,North Warwickshire,Special,Special,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,92.2,0,0,2,2,0,0,0,1.9,0,0,0,0,0,0,0,1.9,0,1,0,92.4,0,0,1,1.9,0,0,0,0,0.9,0.9,0,0,0,0,0.9,1.8,0,0,0,93.6,0,0,0.9,0.9
