Town,Road,District_Borough,County,Easting,Northing,Operating
Kenilworth,Caesar Road / Willoughby Avenue (outside school),Warwick District,Warwickshire,428254,271275,Y
Warwick (Emscote),Spinney Hill (near to close to All Saints Road junction),Warwick District,Warwickshire,429377,266159,Y
Bidford-on-Avon,Bramley Way / Wilkes Way (outside school),Stratford-on-Avon District,Warwickshire,409759,252092,Y
Stratford-upon-Avon (Clopton),"Clopton Road (near to Clopton Mews junction, outside school)",Stratford-on-Avon District,Warwickshire,419984,256127,Y
Leamington Spa,Kingsway (near to The Approach junction),Warwick District,Warwickshire,431583,264806,Y
Warwick (Emscote),All Saints Road (near to George Road junction),Warwick District,Warwickshire,429453,266057,Y
Bishop's Tachbrook,Mallory Road (near to Kingsley Road junction),Warwick District,Warwickshire,430888,261255,Y
Warwick,"Coton End (near to Cherry Street junction, outside school)",Warwick District,Warwickshire,428933,265278,Y
Cubbington,Church Lanet / New Street junction,Warwick District,Warwickshire,434397,268267,Y
Stratford-upon-Avon,St Gregory's Road / Avenue Road junction,Stratford-on-Avon District,Warwickshire,420325,255449,Y
Great Alne,"School Road (near to School Close junction, outside school)",Stratford-on-Avon District,Warwickshire,411142,259193,Y
Warwick (Woodloes Park),"Deansway (close to Lincoln Close, outside school)",Warwick District,Warwickshire,428140,266324,Y
Barford,"Church Street (near to Keytes Lane junction, outside school)",Warwick District,Warwickshire,427117,260848,Y
Leamington Spa (Lillington),Valley Road (near to Cromer Road junction),Warwick District,Warwickshire,432704,267014,Y
Leamington Spa (Lillington),Valley Road (near to Wellington Road junction),Warwick District,Warwickshire,432891,267113,Y
Long Itchington,Southam Road (near to Leather Street junction),Stratford-on-Avon District,Warwickshire,441648,265114,Y
Warwick (Myton),"Myton Road (near to Holioak Drive, outside Myton School)",Warwick District,Warwickshire,429626,264837,N
Leamington Spa (Lillington),Telford Avenue (outside school),Warwick District,Warwickshire,432907,268188,Y
Warwick,Millers Road (near to Wathen Road junction),Warwick District,Warwickshire,428275,265936,Y
Warwick (Woodloes Park),Woodloes Avenue (near to Kettlewell Close junction),Warwick District,Warwickshire,428345,266386,Y
Kenilworth,Clinton Lane (outside school),Warwick District,Warwickshire,427816,273071,Y
Southam,Welsh Road West (near to St. James Road junction),Stratford-on-Avon District,Warwickshire,441604,262211,Y
Kenilworth,Spring Lane (near to Albion Street junction) (double site),Warwick District,Warwickshire,429052,272223,Y
Alcester,St. Faiths Road (outside school),Stratford-on-Avon District,Warwickshire,409071,258004,Y
Kenilworth,"Mortimer Road (near to Roselan road junction, outside School)",Warwick District,Warwickshire,428724,270993,Y
Kenilworth,Priory Road / The Blundells junction,Warwick District,Warwickshire,428917,272071,Y
Kenilworth,Albion Street (near to Spring Lane junction) (double site),Warwick District,Warwickshire,429034,272232,Y
Leamington Spa (Whitnash),"Coppice Road (near to Moorhill Road junction, outside schools)",Warwick District,Warwickshire,432561,263109,Y
Leamington Spa (Whitnash),St. Margarets Road (near to Brunswick Steet junction),Warwick District,Warwickshire,432610,264014,Y
Studley,High Street (opposite Library),Stratford-on-Avon District,Warwickshire,407067,263805,Y
Studley,Alcester Road (near to New Road junction),Stratford-on-Avon District,Warwickshire,407314,263696,Y
Moreton Morrell,Duffus Hill (outside school),Stratford-on-Avon District,Warwickshire,431113,255778,Y
Warwick,"Friars Street (near to Westgate junction, outside school)",Warwick District,Warwickshire,427918,264687,Y
Cubbington,Windmill Hill (outside school),Warwick District,Warwickshire,433687,268361,Y
Wellesbourne,Newbold Road (near Moutford Close junction),Stratford-on-Avon District,Warwickshire,428111,255552,Y
